word,definition
"appeal","a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
"apartment","a set of rooms for living in, usually on one floor of a building"
"association","an official group of people who have joined together for a particular purpose"
"almost","not quite"
"assist","to help somebody to do something"
"assess","to make a judgement about the nature or quality of somebody/something"
"application","a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
"anywhere","used in negative sentences and in questions instead of somewhere"
"apply","to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
"appreciate","to recognize the good qualities of somebody/something"
"always","at all times; on every occasion"
"attach","to fasten or join one thing to another"
"associate","to make a connection between people or things in your mind"
"apple","a round fruit with shiny red or green skin that is fairly hard and white inside"
"approve","to think that somebody/something is good, acceptable or suitable"
"approximately","used to show that something is almost, but not completely, accurate or correct"
"at","used to say where something/somebody is or where something happens"
"area","part of a place, town, etc., or a region of a country or the world"
"attractive","pleasant to look at, especially in a sexual way"
"analyze","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
"atmosphere","the mixture of gases that surrounds the earth"
"approval","the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something"
"arm","either of the two long parts that stick out from the top of the body and connect the shoulders to the hands"
"armed","involving the use of weapons"
"attention","the act of listening to, looking at or thinking about something/somebody carefully; interest that people show in somebody/something"
"announce","to tell people something officially, especially about a decision, plans, etc."
"avoid","to prevent something bad from happening"
"attract","if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them"
"arrange","to plan or organize something in advance"
"arise","to happen; to start to exist"
"arrive","to get to a place, especially at the end of a journey"
"art","the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture"
"anymore","often used at the end of negative sentences and at the end of questions, to mean ‘any longer’"
"average","calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts"
"background","the details of a person’s family, education, experience, etc."
"authority","the power to give orders to people"
"artistic","connected with art or artists"
"arrival","an act of coming or being brought to a place"
"ask","to say or write something in the form of a question, in order to get information"
"asleep","sleeping"
"band","a small group of musicians who play popular music together, often with a singer or singers"
"assert","to state clearly and definitely that something is true"
"apparently","according to what you have heard or read; according to the way something appears"
"away","to or at a distance from somebody/something in space or time"
"aside","to one side; out of the way"
"back","the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this"
"assign","to give somebody something that they can use, or some work or responsibility"
"assignment","a task or piece of work that somebody is given to do, usually as part of their job or studies"
"basic","forming the part of something that is most necessary and from which other things develop"
"assistant","a person who helps or supports somebody, usually in their job"
"appointment","a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
"bake","to cook food in an oven without extra fat or liquid; to be cooked in this way"
"asset","a person or thing that is valuable or useful to somebody/something"
"ban","to decide or say officially that something is not allowed"
"assumption","a belief or feeling that something is true or that something will happen, although there is no proof"
"assure","to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it"
"athletic","physically strong, fit and active"
"architect","a person whose job is designing buildings"
"barrel","a large round container, usually made of wood or metal, with flat ends and, usually, curved sides"
"assume","to think or accept that something is true but without having proof of it"
"baseball","a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball."
"attempt","an act of trying to do something, especially something difficult, often with no success"
"attend","to be present at an event"
"attorney","a lawyer, especially one who can act for somebody in court"
"basketball","a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring"
"around","surrounding somebody/something; on each side of something"
"attack","an act of using violence to try to hurt or kill somebody"
"battle","a fight between armies, ships or planes, especially during a war; a violent fight between groups of people"
"audience","the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.)"
"be","used when you are naming people or things, describing them or giving more information about them"
"author","a person who writes books or the person who wrote a particular book"
"available","that you can get, buy or find"
"artist","a person who creates works of art, especially paintings or drawings"
"attribute","to say or believe that something is the result of a particular thing"
"because","for the reason that"
"aware","knowing or realizing something"
"become","to start to be something"
"beat","to defeat somebody in a game or competition"
"awareness","knowing something; knowing that something exists and is important"
"baby","a very young child or animal"
"assault","the crime of attacking somebody physically"
"award","a prize such as money, etc. for something that somebody has done"
"behavior","the way that somebody behaves, especially towards other people"
"badly","without skill or care"
"behind","at or towards the back of somebody/something, and often hidden by it or them"
"before","earlier than somebody/something"
"bag","a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling"
"ball","a round object used for throwing, hitting or kicking in games and sports"
"assistance","help or support"
"bad","unpleasant; full of problems"
"belt","a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body"
"bench","a long seat for two or more people, usually made of wood"
"bar","a place where you can buy and drink alcoholic and other drinks"
"barely","in a way that is just possible but only with difficulty"
"base","the lowest part of something, especially the part or surface on which it rests or stands"
"bell","a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes"
"athlete","a person who competes in sports"
"bank","an organization that provides various financial services, for example keeping or lending money"
"bet","to risk money on a race or an event by trying to predict the result"
"basis","the way things are organized or arranged; how often something happens"
"better","of a higher standard or less poor quality; not as bad as something else"
"basket","a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker."
"battery","a device that is placed inside a car engine, clock, radio, etc. and that produces the electricity that makes it work"
"beside","next to or at the side of somebody/something"
"attitude","the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel"
"basically","in the most important ways, without considering things that are less important"
"billion","1 000 000 000; one thousand million"
"bean","a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans."
"bind","to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together strongly"
"bear","to be able to accept and deal with something unpleasant"
"beauty","the quality of giving pleasure to the senses or to the mind"
"big","large in size, degree, amount, etc."
"beach","an area of sand or small stones (called shingle), next to the sea or a lake"
"auto","a car"
"bedroom","a room for sleeping in"
"black","having the very darkest colour, like coal or the sky at night"
"blade","the flat part of a knife, tool or machine, which has a sharp edge or edges for cutting"
"beginning","the time when something starts; the first part of an event, a story, etc."
"beer","an alcoholic drink made from malt with hops added to give it taste. There are many types of beer."
"birthday","the day in each year which is the same date as the one on which you were born"
"awful","very bad or unpleasant"
"bed","a piece of furniture for sleeping on"
"blue","having the colour of a clear sky or the sea on a clear day"
"belief","a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right"
"board","a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats"
"below","at or to a lower level, position or place"
"balance","a situation in which different things exist in equal, correct or good amounts"
"block","a large piece of a solid material that is square or rectangular in shape and usually has flat sides"
"being","existence"
"beneath","in or to a lower position than somebody/something; under somebody/something"
"boom","a sudden increase in trade and economic activity; a period of wealth and success"
"book","a set of printed pages that are fastened inside a cover so that you can turn them and read them"
"best","of the most excellent type or quality"
"bombing","an occasion when a bomb is dropped or left somewhere; the act of doing this"
"barrier","an object like a fence that prevents people from moving forward from one place to another"
"bend","to lean, or make something lean, in a particular direction"
"believe","to feel certain that something is true or that somebody is telling you the truth"
"bottle","a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids"
"bother","to spend time and/or energy doing something"
"beyond","on or to the further side of something"
"borrow","to take and use something that belongs to somebody else, and return it to them at a later time"
"bathroom","a room in which there is a bath, a washbasin and often a toilet"
"bill","a document that shows how much you owe somebody for goods or services"
"between","in or into the space separating two or more points, objects, people, etc."
"benefit","an advantage that something gives you; a helpful and useful effect that something has"
"brain","the organ inside the head that controls movement, thought, memory and feeling"
"branch","a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow"
"bird","a creature that is covered with feathers and has two wings and two legs. Most birds can fly."
"beautiful","having beauty; giving pleasure to the senses or to the mind"
"box","a container made of wood, thick card, metal, etc. with a flat base and sides and often a lid (= cover), used especially for holding solid things"
"bite","to use your teeth to cut into or through something"
"biological","connected with the science of biology"
"bible","the holy book of the Christian religion, consisting of the Old Testament and the New Testament"
"breathe","to take air into your lungs and send it out again through your nose or mouth"
"blanket","a large cover, often made of wool, used especially on beds to keep people warm"
"brick","baked clay used for building walls, houses and other buildings; an individual block of this"
"begin","to start doing something; to do the first part of something"
"breakfast","the first meal of the day"
"blame","to think or say that somebody/something is responsible for something bad"
"blow","to send out air from the mouth"
"birth","the time when a baby is born; the process of being born"
"british","connected with the United Kingdom of Great Britain and Northern Ireland or with the people who live there"
"body","the whole physical structure of a human or an animal"
"broad","wide"
"belong","to be in the right or suitable place"
"bright","full of light; shining strongly"
"boat","a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor"
"bone","any of the hard parts that form the skeleton of the body of a human or an animal"
"blind","not able to see"
"border","the line that divides two countries or areas; the land near this line"
"besides","in addition to somebody/something; apart from somebody/something"
"build","to make something, especially a building, by putting parts together"
"building","a structure such as a house or school that has a roof and walls"
"brush","to clean, polish or make something smooth with a brush"
"boot","a strong shoe that covers the foot and ankle and often the lower part of the leg"
"bomb","a weapon designed to explode at a particular time or when it is dropped or thrown"
"boundary","a real or imagined line that marks the limits or edges of something and separates it from other things or places; a dividing line"
"bike","a bicycle"
"burn","to produce flames and heat"
"business","the activity of making, buying, selling or supplying goods or services for money"
"bottom","the lowest part of something"
"both","used with plural nouns to mean ‘the two’ or ‘the one as well as the other’"
"bread","a type of food made from flour, water and usually yeast mixed together and baked"
"busy","having a lot to do; perhaps not free to do something else because you are working on something"
"bit","rather; to some extent"
"cabin","a small room on a ship in which you live or sleep"
"buy","to obtain something by paying money for it"
"born","to come out of your mother’s body at the beginning of your life"
"cabinet","a group of senior members of a government that is responsible for advising and deciding on government policy"
"boyfriend","a man or boy that somebody has a romantic or sexual relationship with"
"campaign","a series of planned activities that are intended to achieve a particular social, commercial or political aim"
"call","to give somebody/something a particular name; to use a particular name or title when you are talking to somebody"
"brief","lasting only a short time; short"
"bowl","a deep round dish with a wide open top, used especially for holding food or liquid"
"brand","a type of product, service, etc. made or offered by a particular company under a particular name"
"campus","the buildings of a university or college and the land around them"
"breath","the air that you take into your lungs and send out again"
"blood","the red liquid that flows through the bodies of humans and animals"
"candidate","a person who is trying to be elected or is applying for a job"
"capable","having the ability or qualities necessary for doing something"
"brother","a boy or man who has the same parents as another person"
"bridge","a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other"
"capacity","the number of things or people that a container or space can hold"
"break","to be damaged and separated into two or more parts, as a result of force; to damage something in this way"
"bring","to come to a place with somebody/something"
"bunch","a number of things of the same type which are growing or fastened together"
"broken","that has been damaged or injured; no longer whole or working correctly"
"briefly","for a short time"
"career","the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes"
"budget","the money that is available to a person or an organization and a plan of how it will be spent over a period of time"
"car","a road vehicle with an engine and four wheels that can carry a small number of passengers"
"butter","a soft yellow food made from cream, used in cooking and for spreading on bread"
"brown","having the colour of earth or coffee"
"bullet","a small metal object that is fired from a gun"
"cat","a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice."
"bond","something that forms a connection between people or groups, such as a feeling of friendship or shared ideas and experiences"
"bus","a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off"
"care","the process of caring for somebody/something and providing what they need for their health or protection"
"burden","a duty, responsibility, etc. that causes worry, difficulty or hard work"
"but","used to introduce a word or phrase that contrasts with what was said before"
"celebrity","a famous person"
"boss","a person who is in charge of other people at work and tells them what to do"
"cast","to look, smile, etc. in a particular direction"
"certainly","without doubt"
"boy","a male child or a young male person"
"carry","to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another"
"cable","a set of wires, covered in plastic or rubber, that carries electricity, phone signals, etc."
"by","used for showing how or in what way something is done"
"celebration","a special event that people organize in order to celebrate something"
"chance","a possibility of something happening, especially something that you want"
"breast","either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby"
"cause","the person or thing that makes something happen"
"can","used to say that it is possible for somebody/something to do something, or for something to happen"
"camp","a place where people live temporarily in tents or temporary buildings"
"brilliant","extremely clever or impressive"
"century","a period of 100 years"
"charge","the amount of money that somebody asks for goods and services"
"certain","strongly believing something; having no doubts"
"capability","the ability or qualities necessary to do something"
"capital","the most important town or city of a country or region, where the government operates from"
"buck","a US, Australian or New Zealand dollar; a South African rand; an Indian rupee"
"challenge","a new or difficult task that tests somebody’s ability and skill"
"chef","a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc."
"championship","a competition to find the best player or team in a particular sport"
"careful","giving attention or thought to what you are doing so that you avoid hurting yourself, damaging something or doing something wrong"
"card","thick, stiff paper; a piece of this for writing on"
"bury","to place a dead body in the ground"
"chip","a long thin piece of potato fried in oil or fat"
"characterize","to be typical of a person, place or thing"
"chapter","a separate section of a book, usually with a number or title"
"catch","to stop and hold a moving object or person, especially in your hands"
"cash","money in the form of coins or notes"
"buyer","a person who buys something, especially something expensive"
"cigarette","a thin tube of paper filled with tobacco, for smoking"
"cheap","costing little money or less money than you expected"
"cheese","a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food"
"celebrate","to show that a day or an event is important by doing something special on it"
"cell","the smallest unit of living matter that can exist on its own. All plants and animals are made up of cells."
"camera","a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device."
"claim","to say that something is true although it has not been proved and other people may not believe it"
"chief","most important"
"chinese","from or connected with China"
"ceremony","a public or religious occasion that includes a series of formal or traditional actions"
"button","a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together"
"chain","a series of connected metal rings, used for pulling or fastening things; a length of chain used for a particular purpose"
"cap","a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and boys, often as part of a uniform"
"climate","the regular pattern of weather conditions of a particular place"
"choose","to decide which thing or person you want out of the ones that are available"
"church","a building where Christians go to attend services, pray, etc."
"calculate","to use numbers to find out a total number, amount, distance, etc."
"champion","a person, team, etc. that has won a competition, especially in a sport"
"change","to become different"
"carbon","a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite."
"clothes","the things that you wear, such as trousers, dresses and jackets"
"citizen","a person who has the legal right to belong to a particular country"
"civilian","a person who is not a member of the armed forces or the police"
"characteristic","a typical feature or quality that something/somebody has"
"cancer","a serious disease in which growths of cells, also called cancers, form in the body and kill normal body cells. The disease often causes death."
"charity","an organization for helping people in need"
"coalition","a government formed by two or more political parties working together"
"clean","not dirty"
"client","a person who uses the services or advice of a professional person or organization"
"case","a particular situation or a situation of a particular type"
"capture","to catch a person or an animal and keep them as a prisoner or shut them in a space that they cannot escape from"
"cheek","either side of the face below the eyes"
"chemical","connected with chemistry"
"colleague","a person that you work with, especially in a profession or a business"
"clock","an instrument for measuring and showing time, in a room, on the wall of a building or on a computer screen (not worn or carried like a watch)"
"closer","near in space or time"
"ceiling","the top inside surface of a room"
"carrier","a company that carries goods or passengers from one place to another, especially by air"
"childhood","the period of somebody’s life when they are a child"
"chocolate","a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet"
"combination","two or more things joined or mixed together to form a single unit"
"clue","an object, a piece of evidence or some information that helps the police solve a crime"
"ceo","the person with the highest rank in a business company (the abbreviation for ‘chief executive officer’)"
"coal","a hard black mineral that is found below the ground and burnt to produce heat"
"christmas","25 December, the day when Christians celebrate the birth of Christ"
"catholic","belonging to or connected with the part of the Christian Church that has the Pope as its leader"
"circle","a completely round flat shape"
"comment","something that you say or write that gives an opinion on or explains somebody/something"
"coffee","the roasted seeds (called coffee beans) of a tropical bush; a powder made from them"
"collapse","to fall down or fall in suddenly, often after breaking apart"
"chamber","a hall in a public building that is used for formal meetings"
"civil","connected with the people who live in a country"
"central","in the centre of an area or object"
"cake","a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing."
"class","a group of students who are taught together"
"communication","the activity or process of expressing ideas and feelings or of giving people information"
"college","(in the UK) a place where students go to study or to receive training after they have left school"
"column","one of the straight sections from top to bottom into which text on a page or screen is divided"
"character","a person or an animal in a book, play or film"
"chairman","the person in charge of a meeting, who tells people when they can speak, etc."
"clearly","in a way that is easy to see or hear"
"canadian","from or connected with Canada"
"climb","to go up something towards the top"
"competitor","a person who takes part in a competition"
"commander","a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation"
"check","to examine something to see if it is correct, safe or acceptable"
"comfort","the state of being physically relaxed and free from pain; the state of having a pleasant life, with everything that you need"
"channel","a television station"
"closely","near in space or time"
"captain","the person in charge of a ship or commercial aircraft"
"clothing","clothes, especially a particular type of clothes"
"compose","to write music"
"child","a young human who is not yet an adult"
"communicate","to share or exchange information, news, ideas, feelings, etc."
"commitment","a promise to do something or to behave in a particular way; a promise to support somebody/something; the fact of committing yourself"
"chase","to run, drive, etc. after somebody/something in order to catch them or it"
"coach","a person who trains a person or team in sport"
"carefully","with a lot of attention or thought, so that you avoid hurting yourself, damaging something or doing something wrong"
"concerned","worried and feeling concern about something/somebody"
"christian","based on or believing the teachings of Jesus Christ"
"competitive","used to describe a situation in which people or organizations compete against each other"
"comparison","the process of comparing two or more people or things"
"chicken","a large bird that is often kept for its eggs or meat"
"category","a group of people or things with particular features in common"
"cold","having a lower than usual temperature; having a temperature lower than the human body"
"city","a large and important town"
"confidence","the feeling that you can trust, believe in and be sure about the abilities or good qualities of somebody/something"
"component","one of several parts of which something is made"
"completely","in every way possible; in every part"
"cholesterol","a fatty substance found in most tissues of the body. Too much cholesterol in the blood is linked to a higher risk of heart disease."
"color","the appearance that things have that results from the way in which they reflect light. Red, orange and green are colors."
"center","the middle point or part of something"
"concentrate","to give all your attention to something and not think about anything else"
"concern","to affect somebody/something; to involve somebody/something"
"connect","to join together two or more things; to be joined together"
"clear","easy to understand and not confusing"
"cite","to mention something as a reason or an example, or in order to support what you are saying"
"command","an order given to a person or an animal"
"chair","a piece of furniture for one person to sit on, with a back, a seat and four legs"
"conference","a large official meeting, usually lasting for a few days, at which people with the same work or interests come together to discuss their views"
"consideration","the act of thinking carefully about something"
"concrete","made of concrete"
"classroom","a room where a class of children or students is taught"
"close","to put something into a position so that it covers an opening; to get into this position"
"congressional","related to or belonging to a congress or the Congress in the US"
"confront","to appear and need to be dealt with by somebody"
"clinical","relating to the examination and treatment of patients and their illnesses"
"construction","the process or method of building or making something, especially roads, buildings, bridges, etc."
"common","happening often; existing in large numbers or in many places"
"cluster","a group of things of the same type that grow or appear close together"
"changing","to become different"
"considerable","great in amount, size, importance, etc."
"contemporary","belonging to the same time"
"consequence","a result of something that has happened, especially an unpleasant result"
"competition","an event in which people compete with each other to find out who is the best at something"
"club","an organization for people who share an interest or do a sport or activity together"
"cognitive","connected with mental processes of understanding"
"chart","a diagram, lists of figures, etc. that shows information"
"contribute","to give something, especially money or goods, to help achieve or provide something"
"constantly","all the time; repeatedly"
"construct","to build or make something such as a road, building or machine"
"complicated","made of many different things or parts that are connected; difficult to understand"
"colonial","connected with or belonging to a country that controls another country"
"code","a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form"
"chest","the top part of the front of the body, between the neck and the stomach"
"convert","to change or make something change from one form, purpose, system, etc. to another"
"container","a box, bottle, etc. in which something can be stored or transported"
"concept","an idea or a principle that is connected with something abstract"
"consumption","the act of using energy, food or materials; the amount used"
"comfortable","making you feel physically relaxed; pleasant to wear, sit on, etc."
"collective","done or shared by all members of a group of people; involving a whole group or society"
"coast","the land next to or near to the sea or ocean"
"choice","an act of choosing between two or more possibilities; something that you can choose"
"cop","a police officer"
"conduct","to organize and/or do a particular activity"
"continue","to keep existing or happening without stopping"
"contrast","a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them"
"committee","a group of people who are chosen, usually by a larger group, to make decisions or to deal with a particular subject"
