word,definition
"agenda","a list of items to be discussed at a meeting"
"ago","used in expressions of time with the simple past tense to show how far in the past something happened"
"aggressive","angry, and behaving in a threatening way; ready to attack"
"agent","a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
"amount","a quantity of something"
"aids","a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for )"
"agricultural","connected with the science or practice of farming"
"aid","money, food, etc. that is sent to help countries in difficult situations"
"add","to put something together with something else so as to increase the size, number, amount, etc."
"angry","having strong feelings about something that you dislike very much or about an unfair situation"
"aide","a person who helps another person, especially a politician, in their job"
"alive","living; not dead"
"ahead","further forward in space or time; in front"
"aircraft","any vehicle that can fly and carry goods or passengers"
"admit","to agree, often unwillingly, that something is true"
"administrator","a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
"album","a book in which you keep photographs, stamps, etc."
"anxiety","the state of feeling nervous or worried that something bad is going to happen"
"already","before now or before a particular time in the past"
"alcohol","drinks such as beer, wine, etc. that can make people drunk"
"airport","a place where planes land and take off and that has buildings for passengers to wait in"
"allow","to let somebody/something do something; to let something happen or be done"
"advanced","having the most modern and recently developed ideas, methods, etc."
"apart","separated by a distance, of space or time"
"american","a person from America, especially the US"
"along","from one end to or towards the other end of something"
"alone","without any other people"
"affair","events that are of public interest or political importance"
"alternative","a thing that you can choose to do or have out of two or more possibilities"
"almost","not quite"
"anger","the strong feeling that you have when something has happened that you think is bad and unfair"
"application","a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
"amazing","very surprising, especially in a way that you like or admire"
"analysis","the detailed study or examination of something in order to understand more about it; the result of the study"
"again","one more time; on another occasion"
"always","at all times; on every occasion"
"approve","to think that somebody/something is good, acceptable or suitable"
"answer","something that you say, write or do to react to a question or situation"
"ancient","belonging to a period of history that is thousands of years in the past"
"analyze","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
"and","also; in addition to"
"anyway","used when adding something to support an idea or argument"
"animal","a creature that is not a bird, a fish, a reptile, an insect or a human"
"agree","to have the same opinion as somebody; to say that you have the same opinion"
"arm","either of the two long parts that stick out from the top of the body and connect the shoulders to the hands"
"annual","happening or done once every year"
"another","one more; an extra thing or person"
"aim","to try or plan to achieve something"
"announce","to tell people something officially, especially about a decision, plans, etc."
"appearance","the way that somebody/something looks on the outside; what somebody/something seems to be"
"any","used with uncountable or plural nouns in negative sentences and questions, after  or , and after some verbs such as , , , etc. to refer to an amount or a number of something, however large or small"
"arrive","to get to a place, especially at the end of a journey"
"anyone","used instead of  in negative sentences and in questions after /, and after verbs such as , , , etc."
"anything","used instead of  in negative sentences and in questions; after /; and after verbs such as , , , etc."
"appropriate","suitable, acceptable or correct for the particular circumstances"
"apartment","a set of rooms for living in, usually on one floor of a building"
"advertising","the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
"ask","to say or write something in the form of a question, in order to get information"
"all","the whole number of"
"appeal","a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
"anymore","often used at the end of negative sentences and at the end of questions, to mean ‘any longer’"
"appear","to start to be seen"
"argument","a conversation or discussion in which two or more people disagree, often angrily"
"afraid","feeling fear; frightened because you think that you might be hurt or suffer"
"apparently","according to what you have heard or read; according to the way something appears"
"apply","to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
"also","in addition; too"
"appreciate","to recognize the good qualities of somebody/something"
"arrest","if the police  somebody, the person is taken to a police station and kept there because the police believe they may be guilty of a crime"
"appointment","a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
"assign","to give somebody something that they can use, or some work or responsibility"
"among","surrounded by somebody/something; in the middle of somebody/something"
"approximately","used to show that something is almost, but not completely, accurate or correct"
"approach","a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task"
"area","part of a place, town, etc., or a region of a country or the world"
"asian","a person from Asia, or whose family originally came from Asia"
"architect","a person whose job is designing buildings"
"assumption","a belief or feeling that something is true or that something will happen, although there is no proof"
"angle","the space between two lines or surfaces that join, measured in degrees"
"armed","involving the use of weapons"
"argue","to speak angrily to somebody because you disagree with them"
"arrange","to plan or organize something in advance"
"assessment","an opinion or a judgement about somebody/something that has been thought about very carefully"
"attempt","an act of trying to do something, especially something difficult, often with no success"
"around","surrounding somebody/something; on each side of something"
"anticipate","to expect something"
"art","the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture"
"arrangement","a plan or preparation that you make so that something can happen"
"artistic","connected with art or artists"
"association","an official group of people who have joined together for a particular purpose"
"audience","the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.)"
"artist","a person who creates works of art, especially paintings or drawings"
"anywhere","used in negative sentences and in questions instead of"
"asleep","sleeping"
"assert","to state clearly and definitely that something is true"
"attach","to fasten or join one thing to another"
"assault","the crime of attacking somebody physically"
"apple","a round fruit with shiny red or green skin that is fairly hard and white inside"
"aware","knowing or realizing something"
"assistant","a person who helps or supports somebody, usually in their job"
"assistance","help or support"
"assignment","a task or piece of work that somebody is given to do, usually as part of their job or studies"
"as","used to describe somebody/something appearing to be somebody/something else"
"attractive","pleasant to look at, especially in a sexual way"
"athletic","physically strong, fit and active"
"athlete","a person who competes in sports"
"assess","to make a judgement about the nature or quality of somebody/something"
"approval","the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something"
"associate","to make a connection between people or things in your mind"
"attitude","the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel"
"avoid","to prevent something bad from happening"
"agency","a business or an organization that provides a particular service especially when representing other businesses or organizations"
"attorney","a lawyer, especially one who can act for somebody in court"
"arise","to happen; to start to exist"
"auto","a car"
"background","the details of a person’s family, education, experience, etc."
"ah","used to express surprise, pleasure or sympathy, or when you disagree with somebody"
"atmosphere","the mixture of gases that surrounds the earth"
"arrival","an act of coming or being brought to a place"
"badly","without skill or care"
"assure","to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it"
"airline","a company that provides regular flights to take passengers and goods to different places"
"aside","to one side; out of the way"
"attract","if you are  by something, it interests you and makes you want it; if you are  by somebody, you like or admire them"
"available","that you can get, buy or find"
"attend","to be present at an event"
"baby","a very young child or animal"
"average","calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts"
"ball","a round object used for throwing, hitting or kicking in games and sports"
"ally","a country that has agreed to help and support another country, especially in case of a war"
"awful","very bad or unpleasant"
"back","the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this"
"base","the lowest part of something, especially the part or surface on which it rests or stands"
"although","used for introducing a statement that makes the main statement in a sentence seem surprising"
"balance","a situation in which different things exist in equal, correct or good amounts"
"ban","to decide or say officially that something is not allowed"
"band","a small group of musicians who play popular music together, often with a singer or singers"
"battery","a device that is placed inside a car engine, clock, radio, etc. and that produces the electricity that makes it work"
"analyst","a person whose job involves examining facts or materials in order to give an opinion on them"
"baseball","a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball."
"barrier","an object like a fence that prevents people from moving forward from one place to another"
"basic","forming the part of something that is most necessary and from which other things develop"
"beauty","the quality of giving pleasure to the senses or to the mind"
"anniversary","a date that is an exact number of years after the date of an important or special event"
"bathroom","a room in which there is a bath, a washbasin and often a toilet"
"battle","a fight between armies, ships or planes, especially during a war; a violent fight between groups of people"
"anybody","used instead of  in negative sentences and in questions after /, and after verbs such as , , , etc."
"beginning","the time when something starts; the first part of an event, a story, etc."
"beautiful","having beauty; giving pleasure to the senses or to the mind"
"because","for the reason that"
"apparent","easy to see or understand"
"bar","a place where you can buy and drink alcoholic and other drinks"
"below","at or to a lower level, position or place"
"author","a person who writes books or the person who wrote a particular book"
"begin","to start doing something; to do the first part of something"
"behavior","the way that somebody behaves, especially towards other people"
"basis","the way things are organized or arranged; how often something happens"
"appoint","to choose somebody for a job or position of responsibility"
"best","of the most excellent type or quality"
"awareness","knowing something; knowing that something exists and is important"
"belong","to be in the right or suitable place"
"belt","a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body"
"arab","a person from the Middle East or North Africa, whose ancestors lived in the Arabian peninsula"
"bean","a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of  and the plants that they grow on are also called ."
"bill","a document that shows how much you owe somebody for goods or services"
"besides","in addition to somebody/something; apart from somebody/something"
"bag","a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling"
"bet","to risk money on a race or an event by trying to predict the result"
"army","a large organized group of soldiers who are trained to fight on land"
"bedroom","a room for sleeping in"
"asset","a person or thing that is valuable or useful to somebody/something"
"bike","a bicycle"
"bite","to use your teeth to cut into or through something"
"billion","1 000 000 000; one thousand million"
"article","a piece of writing about a particular subject in a newspaper or magazine, on a website, etc."
"belief","a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right"
"assume","to think or accept that something is true but without having proof of it"
"blow","to send out air from the mouth"
"bit","rather; to some extent"
"barely","in a way that is just possible but only with difficulty"
"black","having the very darkest colour, like coal or the sky at night"
"aspect","a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered"
"beneath","in or to a lower position than somebody/something; under somebody/something"
"attack","an act of using violence to try to hurt or kill somebody"
"bone","any of the hard parts that form the skeleton of the body of a human or an animal"
"basket","a container for holding or carrying things.  are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker."
"assist","to help somebody to do something"
"blood","the red liquid that flows through the bodies of humans and animals"
"beyond","on or to the further side of something"
"blue","having the colour of a clear sky or the sea on a clear day"
"attribute","to say or believe that something is the result of a particular thing"
"both","used with plural nouns to mean ‘the two’ or ‘the one as well as the other’"
"be","used when you are naming people or things, describing them or giving more information about them"
"bear","to be able to accept and deal with something unpleasant"
"bird","a creature that is covered with feathers and has two wings and two legs. Most birds can fly."
"at","used to say where something/somebody is or where something happens"
"boyfriend","a man or boy that somebody has a romantic or sexual relationship with"
"become","to start to be something"
"bond","something that forms a connection between people or groups, such as a feeling of friendship or shared ideas and experiences"
"beer","an alcoholic drink made from malt with hops added to give it taste. There are many types of beer."
"book","a set of printed pages that are fastened inside a cover so that you can turn them and read them"
"blanket","a large cover, often made of wool, used especially on beds to keep people warm"
"attention","the act of listening to, looking at or thinking about something/somebody carefully; interest that people show in somebody/something"
"boss","a person who is in charge of other people at work and tells them what to do"
"breath","the air that you take into your lungs and send out again"
"behind","at or towards the back of somebody/something, and often hidden by it or them"
"award","a prize such as money, etc. for something that somebody has done"
"bother","to spend time and/or energy doing something"
"body","the whole physical structure of a human or an animal"
"believe","to feel certain that something is true or that somebody is telling you the truth"
"authority","the power to give orders to people"
"boy","a male child or a young male person"
"border","the line that divides two countries or areas; the land near this line"
"bench","a long seat for two or more people, usually made of wood"
"bring","to come to a place with somebody/something"
"away","to or at a distance from somebody/something in space or time"
"breast","either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby"
"boundary","a real or imagined line that marks the limits or edges of something and separates it from other things or places; a dividing line"
"budget","the money that is available to a person or an organization and a plan of how it will be spent over a period of time"
"bake","to cook food in an oven without extra fat or liquid; to be cooked in this way"
"brilliant","extremely clever or impressive"
"bread","a type of food made from flour, water and usually yeast mixed together and baked"
"brain","the organ inside the head that controls movement, thought, memory and feeling"
"better","of a higher standard or less poor quality; not as bad as something else"
"bus","a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off"
"bad","unpleasant; full of problems"
"barrel","a large round container, usually made of wood or metal, with flat ends and, usually, curved sides"
"buck","a US, Australian or New Zealand dollar; a South African rand; an Indian rupee"
"bank","an organization that provides various financial services, for example keeping or lending money"
"benefit","an advantage that something gives you; a helpful and useful effect that something has"
"bind","to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together strongly"
"by","used for showing how or in what way something is done"
"bury","to place a dead body in the ground"
"basically","in the most important ways, without considering things that are less important"
"breathe","to take air into your lungs and send it out again through your nose or mouth"
"bible","the holy book of the Christian religion, consisting of the Old Testament and the New Testament"
"blade","the flat part of a knife, tool or machine, which has a sharp edge or edges for cutting"
"camp","a place where people live temporarily in tents or temporary buildings"
"buyer","a person who buys something, especially something expensive"
"beach","an area of sand or small stones (called shingle), next to the sea or a lake"
"british","connected with the United Kingdom of Great Britain and Northern Ireland or with the people who live there"
"birth","the time when a baby is born; the process of being born"
"board","a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats"
"capability","the ability or qualities necessary to do something"
"camera","a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device."
"bed","a piece of furniture for sleeping on"
"blind","not able to see"
"boom","a sudden increase in trade and economic activity; a period of wealth and success"
"build","to make something, especially a building, by putting parts together"
"card","thick, stiff paper; a piece of this for writing on"
"cap","a type of soft flat hat with a peak .  are worn especially by men and boys, often as part of a uniform"
"brief","lasting only a short time; short"
"being","existence"
"bottle","a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids"
"bomb","a weapon designed to explode at a particular time or when it is dropped or thrown"
"cash","money in the form of coins or notes"
"business","the activity of making, buying, selling or supplying goods or services for money"
"carbon","a chemical element.  is found in all living things, existing in a pure state as diamond and graphite."
"brother","a boy or man who has the same parents as another person"
"bend","to lean, or make something lean, in a particular direction"
"celebrate","to show that a day or an event is important by doing something special on it"
"born","to come out of your mother’s body at the beginning of your life"
"cabin","a small room on a ship in which you live or sleep"
"branch","a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow"
"case","a particular situation or a situation of a particular type"
"brick","baked clay used for building walls, houses and other buildings; an individual block of this"
"bowl","a deep round dish with a wide open top, used especially for holding food or liquid"
"ceremony","a public or religious occasion that includes a series of formal or traditional actions"
"campaign","a series of planned activities that are intended to achieve a particular social, commercial or political aim"
"basketball","a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring"
"ceiling","the top inside surface of a room"
"broad","wide"
"champion","a person, team, etc. that has won a competition, especially in a sport"
"break","to be damaged and separated into two or more parts, as a result of force; to damage something in this way"
"capable","having the ability or qualities necessary for doing something"
"ceo","the person with the highest rank in a business company (the abbreviation for )"
"building","a structure such as a house or school that has a roof and walls"
"beat","to defeat somebody in a game or competition"
"characteristic","a typical feature or quality that something/somebody has"
"briefly","for a short time"
"care","the process of caring for somebody/something and providing what they need for their health or protection"
"chamber","a hall in a public building that is used for formal meetings"
"busy","having a lot to do; perhaps not free to do something else because you are working on something"
"before","earlier than somebody/something"
"brown","having the colour of earth or coffee"
"cheek","either side of the face below the eyes"
"cast","to look, smile, etc. in a particular direction"
"cabinet","a group of senior members of a government that is responsible for advising and deciding on government policy"
"character","a person or an animal in a book, play or film"
"burden","a duty, responsibility, etc. that causes worry, difficulty or hard work"
"bell","a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes"
"childhood","the period of somebody’s life when they are a child"
"celebration","a special event that people organize in order to celebrate something"
"campus","the buildings of a university or college and the land around them"
"check","to examine something to see if it is correct, safe or acceptable"
"certain","strongly believing something; having no doubts"
"beside","next to or at the side of somebody/something"
"button","a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together"
"christmas","25 December, the day when Christians celebrate the birth of Christ"
"child","a young human who is not yet an adult"
"bunch","a number of things of the same type which are growing or fastened together"
"big","large in size, degree, amount, etc."
"championship","a competition to find the best player or team in a particular sport"
"capacity","the number of things or people that a container or space can hold"
"butter","a soft yellow food made from cream, used in cooking and for spreading on bread"
"between","in or into the space separating two or more points, objects, people, etc."
"civil","connected with the people who live in a country"
"birthday","the day in each year which is the same date as the one on which you were born"
"characterize","to be typical of a person, place or thing"
"cake","a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing."
"career","the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes"
"biological","connected with the science of biology"
"clearly","in a way that is easy to see or hear"
"block","a large piece of a solid material that is square or rectangular in shape and usually has flat sides"
"cheese","a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food"
"canadian","from or connected with Canada"
"cat","a small animal with soft fur that people often keep as a pet.  catch and kill birds and mice."
"blame","to think or say that somebody/something is responsible for something bad"
"closely","near in space or time"
"bombing","an occasion when a bomb is dropped or left somewhere; the act of doing this"
"chinese","from or connected with China"
"celebrity","a famous person"
"captain","the person in charge of a ship or commercial aircraft"
"boat","a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor"
"coach","a person who trains a person or team in sport"
"borrow","to take and use something that belongs to somebody else, and return it to them at a later time"
"certainly","without doubt"
"carefully","with a lot of attention or thought, so that you avoid hurting yourself, damaging something or doing something wrong"
"church","a building where Christians go to attend services, pray, etc."
"cold","having a lower than usual temperature; having a temperature lower than the human body"
"boot","a strong shoe that covers the foot and ankle and often the lower part of the leg"
"box","a container made of wood, thick card, metal, etc. with a flat base and sides and often a lid , used especially for holding solid things"
"chance","a possibility of something happening, especially something that you want"
"civilian","a person who is not a member of the armed forces or the police"
"category","a group of people or things with particular features in common"
"charge","the amount of money that somebody asks for goods and services"
"color","the appearance that things have that results from the way in which they reflect light. Red, orange and green are ."
"breakfast","the first meal of the day"
"client","a person who uses the services or advice of a professional person or organization"
"bottom","the lowest part of something"
"calculate","to use numbers to find out a total number, amount, distance, etc."
"christian","based on or believing the teachings of Jesus Christ"
"center","the middle point or part of something"
"bright","full of light; shining strongly"
"chef","a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc."
"command","an order given to a person or an animal"
"closer","near in space or time"
"brand","a type of product, service, etc. made or offered by a particular company under a particular name"
"cancer","a serious disease in which growths of cells, also called , form in the body and kill normal body cells. The disease often causes death."
"common","happening often; existing in large numbers or in many places"
"brush","to clean, polish or make something smooth with a brush"
"coal","a hard black mineral that is found below the ground and burnt to produce heat"
"bridge","a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other"
"capture","to catch a person or an animal and keep them as a prisoner or shut them in a space that they cannot escape from"
"competition","an event in which people compete with each other to find out who is the best at something"
"chair","a piece of furniture for one person to sit on, with a back, a seat and four legs"
"broken","that has been damaged or injured; no longer whole or working correctly"
"collapse","to fall down or fall in suddenly, often after breaking apart"
"chip","a long thin piece of potato fried in oil or fat"
"burn","to produce flames and heat"
"carrier","a company that carries goods or passengers from one place to another, especially by air"
"changing","to become different"
"cigarette","a thin tube of paper filled with tobacco, for smoking"
"bullet","a small metal object that is fired from a gun"
"buy","to obtain something by paying money for it"
"column","one of the straight sections from top to bottom into which text on a page or screen is divided"
"chart","a diagram, lists of figures, etc. that shows information"
"claim","to say that something is true although it has not been proved and other people may not believe it"
"but","used to introduce a word or phrase that contrasts with what was said before"
"commander","a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation"
"call","to give somebody/something a particular name; to use a particular name or title when you are talking to somebody"
"chest","the top part of the front of the body, between the neck and the stomach"
"catholic","belonging to or connected with the part of the Christian Church that has the Pope as its leader"
"cable","a set of wires, covered in plastic or rubber, that carries electricity, phone signals, etc."
"climate","the regular pattern of weather conditions of a particular place"
"communicate","to share or exchange information, news, ideas, feelings, etc."
"candidate","a person who is trying to be elected or is applying for a job"
"choice","an act of choosing between two or more possibilities; something that you can choose"
"central","in the centre of an area or object"
"car","a road vehicle with an engine and four wheels that can carry a small number of passengers"
"circumstance","the conditions and facts that are connected with and affect a situation, an event or an action"
"competitive","used to describe a situation in which people or organizations compete against each other"
"clothes","the things that you wear, such as trousers, dresses and jackets"
"city","a large and important town"
"can","used to say that it is possible for somebody/something to do something, or for something to happen"
"clear","easy to understand and not confusing"
"component","one of several parts of which something is made"
"classic","accepted or deserving to be accepted as one of the best or most important of its kind"
"coalition","a government formed by two or more political parties working together"
"close","to put something into a position so that it covers an opening; to get into this position"
"capital","the most important town or city of a country or region, where the government operates from"
"concern","to affect somebody/something; to involve somebody/something"
"cluster","a group of things of the same type that grow or appear close together"
"colleague","a person that you work with, especially in a profession or a business"
"clinic","a building or part of a hospital where people can go for special medical treatment or advice"
"complicated","made of many different things or parts that are connected; difficult to understand"
"careful","giving attention or thought to what you are doing so that you avoid hurting yourself, damaging something or doing something wrong"
"concept","an idea or a principle that is connected with something abstract"
"cognitive","connected with mental processes of understanding"
"cloud","a grey or white mass that floats in the sky, made of very small drops of water"
"combination","two or more things joined or mixed together to form a single unit"
"chairman","the person in charge of a meeting, who tells people when they can speak, etc."
"colonial","connected with or belonging to a country that controls another country"
"coat","a piece of outdoor clothing that is worn over other clothes to keep warm or dry.  have sleeves  and may be long or short."
"comment","something that you say or write that gives an opinion on or explains somebody/something"
"carry","to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another"
"conduct","to organize and/or do a particular activity"
"comfortable","making you feel physically relaxed; pleasant to wear, sit on, etc."
"collection","a group of objects, often of the same sort, that have been collected"
"communication","the activity or process of expressing ideas and feelings or of giving people information"
"committee","a group of people who are chosen, usually by a larger group, to make decisions or to deal with a particular subject"
"cause","the person or thing that makes something happen"
"come","to move to or towards a person or place"
"catch","to stop and hold a moving object or person, especially in your hands"
"conference","a large official meeting, usually lasting for a few days, at which people with the same work or interests come together to discuss their views"
"competitor","a person who takes part in a competition"
"commission","an official group of people who have been given responsibility to control something, or to find out about something, usually for the government"
"century","a period of 100 years"
"channel","a television station"
"congressional","related to or belonging to a congress or the Congress in the US"
"cell","the smallest unit of living matter that can exist on its own. All plants and animals are made up of ."
"compose","to write music"
"challenge","a new or difficult task that tests somebody’s ability and skill"
"considerable","great in amount, size, importance, etc."
"chase","to run, drive, etc. after somebody/something in order to catch them or it"
"company","a business organization that makes money by producing or selling goods or services"
"chain","a series of connected metal rings, used for pulling or fastening things; a length of  used for a particular purpose"
"concerned","worried and feeling concern about something/somebody"
"congress","a large formal meeting or series of meetings where representatives from different groups discuss ideas, make decisions, etc."
"chicken","a large bird that is often kept for its eggs or meat"
"construct","to build or make something such as a road, building or machine"
"confidence","the feeling that you can trust, believe in and be sure about the abilities or good qualities of somebody/something"
"consider","to think about something carefully, especially in order to make a decision"
"compete","to take part in a contest or game"
"change","to become different"
"cholesterol","a fatty substance found in most tissues of the body. Too much  in the blood is linked to a higher risk of heart disease."
"connect","to join together two or more things; to be joined together"
"container","a box, bottle, etc. in which something can be stored or transported"
"chapter","a separate section of a book, usually with a number or title"
"constitutional","connected with the constitution of a country or an organization"
"complaint","a reason for not being satisfied; a statement that somebody makes saying that they are not satisfied"
"complex","made of many different things or parts that are connected; difficult to understand"
"charity","an organization for helping people in need"
"consideration","the act of thinking carefully about something"
"cheap","costing little money or less money than you expected"
"contain","if something  something else, it has that thing inside it or as part of it"
"cite","to mention something as a reason or an example, or in order to support what you are saying"
"concentration","the ability to direct all your effort and attention on one thing, without thinking of other things"
"contrast","a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them"
"chemical","connected with chemistry"
"construction","the process or method of building or making something, especially roads, buildings, bridges, etc."
"classroom","a room where a class of children or students is taught"
"chief","most important"
"contract","an official written agreement"
"condition","the state that something is in"
"chocolate","a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet"
"contemporary","belonging to the same time"
"conventional","tending to follow what is done or considered acceptable by society in general; normal and ordinary, and perhaps not very interesting"
"confusion","a state of not being certain about what is happening, what you should do, what something means, etc."
"clinical","relating to the examination and treatment of patients and their illnesses"
"choose","to decide which thing or person you want out of the ones that are available"
"contribute","to give something, especially money or goods, to help achieve or provide something"
"conservative","opposed to great or sudden social change; showing that you prefer traditional styles and values"
"cool","fairly cold; not hot or warm"
"club","an organization for people who share an interest or do a sport or activity together"
"circle","a completely round flat shape"
"citizen","a person who has the legal right to belong to a particular country"
"corporate","connected with a large business company"
