word,definition
"knowledge","the information, understanding and skills that you gain through education or experience"
"imply","to suggest that something is true or that you feel or think something, without saying so directly"
"investor","a person or an organization that invests money in something"
"improve","to become better than before; to make something/somebody better than before"
"land","the surface of the earth that is not sea"
"leave","to go away from a person or a place"
"islamic","connected with the Muslim religion"
"incorporate","to include something so that it forms a part of something"
"itself","used when the animal or thing that does an action is also affected by it"
"lemon","a yellow citrus fruit with juice that has a bitter, sharp taste. Slices of  and  juice are used in cooking and drinks."
"later","at a time in the future; after the time you are talking about"
"join","to fix or connect two or more things together"
"illegal","not allowed by the law"
"lawyer","a person who is trained and qualified to advise people about the law and to represent them in court, and to write legal documents"
"independent","having its own government"
"library","a building in which collections of books, newspapers, etc. and sometimes films and recorded music are kept for people to read, study or borrow"
"lock","to fasten something with a lock; to be fastened with a lock"
"judgment","the ability to make sensible decisions after carefully considering the best thing to do"
"infant","a baby or very young child"
"immigrant","a person who has come to live permanently in a different country from the one they were born in"
"league","a group of sports teams who all play each other to earn points and find which team is best"
"like","similar to somebody/something"
"interpretation","the particular way in which something is understood or explained"
"lot","a large number or amount"
"initially","at the beginning"
"leg","one of the long parts that connect the feet to the rest of the body"
"impose","to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used"
"list","a series of names, items, figures, etc., especially when they are written or printed"
"keep","to continue to have something and not give it back or throw it away"
"investigate","to carefully examine the facts of a situation, an event, a crime, etc. to find out the truth about it or how it happened"
"luck","good things that happen to you by chance, not because of your own efforts or abilities"
"insist","to demand that something happen or that somebody agree to do something"
"less","used with uncountable nouns to mean ‘a smaller amount of’"
"load","something that is being carried (usually in large amounts) by a person, vehicle, etc."
"legal","connected with the law"
"incentive","something that encourages you to do something"
"king","the male ruler of an independent state that has a royal family"
"involvement","the act of taking part in something or dealing with somebody"
"main","being the largest or most important of its kind"
"increasing","to become greater in amount, number, value, etc.; to make something greater in amount, number, value, etc."
"lab","a laboratory"
"look","to turn your eyes in a particular direction"
"let","used for making suggestions or as a polite way of telling people what you want them to do"
"landscape","everything you can see when you look across a large area of land, especially in the country"
"love","a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend"
"indicate","to show that something is true or exists"
"lifestyle","the way in which a person or a group of people lives and works"
"latin","the language of ancient Rome and the official language of its empire"
"limited","not very great in amount or extent"
"makeup","coloured substances used on the skin to make yourself look more attractive or to change your appearance"
"lung","either of the two organs in the chest that you use for breathing"
"it","used to refer to an animal or a thing that has already been mentioned or that is being talked about now"
"literature","pieces of writing that are valued as works of art, especially novels, plays and poems (in contrast to technical books and newspapers, magazines, etc.)"
"influence","the effect that somebody/something has on the way a person thinks or behaves or on the way that something works or develops"
"manufacturer","a person or company that produces goods in large quantities"
"maintenance","the act of keeping something in good condition by checking or repairing it regularly"
"jet","a plane driven by jet engines"
"inner","inside; towards or close to the centre of a place"
"location","a place where something happens or exists; the position of something"
"marriage","the legal relationship between two people who are married to each other"
"instructor","a person whose job is to teach somebody a practical skill or sport"
"lost","unable to find your way; not knowing where you are"
"instance","a particular example or case of something"
"lie","to be or put yourself in a flat position so that you are not standing or sitting"
"material","a substance that things can be made from"
"lower","to reduce something or to become less in value, quality, etc."
"limit","the greatest or smallest amount of something that is allowed"
"intention","what you intend or plan to do; your aim"
"mail","the official system used for sending and delivering letters, packages, etc."
"literally","in a literal way"
"interpret","to explain the meaning of something"
"maker","a person, company or piece of equipment that makes or produces something"
"local","belonging to or connected with the particular place or area that you are talking about or with the place where you live"
"invest","to buy property, shares in a company, etc. in the hope of making a profit"
"lay","to put somebody/something in a particular position, especially when it is done gently or carefully"
"manner","behaviour that is considered to be polite in a particular society or culture"
"lose","to be unable to find something/somebody"
"involved","taking part in something; being part of something or connected with something"
"lean","to bend or move from a straight position to a sloping position"
"marketing","the activity of presenting, advertising and selling a company’s products or services in the best possible way"
"lover","a partner in a sexual relationship outside marriage"
"legacy","money or property that is given to you by somebody when they die"
"issue","an important topic that people are discussing or arguing about"
"journalist","a person whose job is to collect and write news stories for newspapers, magazines, radio, television or online news sites"
"man","an adult male human"
"match","a sports event where people or teams compete against each other"
"mad","very stupid; not at all sensible"
"japanese","(a person) from Japan"
"lesson","a period of time in which somebody is taught something"
"jury","a group of members of the public who listen to the facts of a case in a court and decide whether or not somebody is guilty of a crime, or whether a claim has been proved"
"meal","an occasion when people eat food, especially breakfast, lunch or dinner"
"majority","the largest part of a group of people or things"
"journal","a newspaper or magazine that deals with a particular subject or profession"
"map","a drawing or plan of the earth’s surface or part of it, showing countries, towns, rivers, etc."
"media","the main ways that large numbers of people receive information and entertainment, that is television, radio, newspapers and the internet"
"kill","to make somebody/something die"
"life","the ability to breathe, grow, produce young, etc. that people, animals and plants have before they die and that objects do not have"
"mask","something that you wear over your face to hide it, or to frighten or entertain other people"
"junior","having a low rank in an organization or a profession"
"management","the activity of running and controlling a business or similar organization"
"intellectual","connected with or using a person’s ability to think in a logical way and understand things"
"membership","the state of being a member of a group, a club, an organization, etc."
"knife","a sharp blade  with a handle, used for cutting or as a weapon"
"may","used to say that something is possible"
"limitation","the act or process of limiting or controlling somebody/something"
"mean","to have something as a meaning in the same or another language"
"kid","a child or young person"
"mark","to write or draw a symbol, line, etc. on something in order to give information about it"
"interested","giving your attention to something because you enjoy finding out about it or doing it; showing interest in something and finding it exciting"
"message","a written or spoken piece of information, etc. that you send to somebody or leave for somebody when you cannot speak to them yourself"
"lack","the state of not having something or not having enough of something"
"literary","connected with literature"
"measure","to find the size, quantity, etc. of something in standard units"
"medical","connected with illness and injury and their treatment"
"knee","the joint between the top and bottom parts of the leg where it bends in the middle"
"massive","very large, heavy and solid"
"interview","a formal meeting at which somebody is asked questions to see if they are suitable for a particular job, or for a course of study at a college, university, etc."
"milk","the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans"
"locate","to find the exact position of somebody/something"
"medium","in the middle between a larger and smaller size, amount, length, temperature, etc."
"largely","to a great extent; mostly or mainly"
"laboratory","a room or building used for scientific research, experiments, testing, etc."
"memory","your ability to remember things"
"mayor","the head of the government of a town or city, etc., elected by the public"
"investigator","a person who examines a situation such as an accident or a crime to find out the truth"
"miracle","an act or event that does not follow the laws of nature and is believed to be caused by God"
"loss","the state of no longer having something or as much of something; the process that leads to this"
"menu","a list of the food that is available at a restaurant or to be served at a meal"
"large","big in size or quantity"
"law","a rule that deals with a particular crime, agreement, etc."
"low","not high or tall; not far above the ground"
"irish","the Celtic language of Ireland"
"mexican","from or connected with Mexico"
"launch","to start an activity, especially an organized one"
"magazine","a type of large thin book with a paper cover that you can buy every week or month, containing articles, photographs, etc., often on a particular topic; a similar collection of articles, etc. that appears regularly online"
"item","one thing on a list of things to buy, do, talk about, etc."
"leadership","the state or position of being a leader"
"minister","a senior member of the government who is in charge of a government department or a branch of one"
"leader","a person who leads a group of people, especially the head of a country, an organization, etc."
"meat","the soft part of an animal or a bird that can be eaten as food; a particular type of this"
"jewish","connected with Judaism; believing in and practising Judaism"
"leather","material made by removing the hair or fur from animal skins and preserving the skins using special processes"
"make","to create or prepare something by combining materials or putting parts together"
"mission","an important official job that a person or group of people is given to do, especially when they are sent to another country"
"least","smallest in size, amount, degree, etc."
"meeting","an occasion when people come together to discuss or decide something"
"legitimate","for which there is a fair and acceptable reason"
"manager","a person who is in charge of running a business, a shop or a similar organization or part of one"
"modern","of the present time or recent times"
"merely","used meaning ‘only’ or ‘simply’ to emphasize a fact or something that you are saying"
"legislation","a law or a set of laws passed by a parliament"
"metal","a type of solid mineral substance that is usually hard and shiny and that heat and electricity can travel through, for example tin, iron and gold"
"liberal","willing to understand and respect other people’s behaviour, opinions, etc., especially when they are different from your own; believing people should be able to choose how they behave"
"moon","the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun"
"market","an occasion when people buy and sell goods; the open area or building where they meet to do this"
"million","1 000 000"
"level","the height of something in relation to the ground or to what it used to be"
"might","used when showing that something is or was possible"
"mother","a female parent of a child or animal; a person who is acting as a mother to a child"
"mirror","a piece of special flat glass that reflects images, so that you can see yourself when you look in it"
"master","a man who has people working for him, often as servants in his home"
"minority","the smaller part of a group; less than half of the people or things in a large group"
"lift","to raise somebody/something or be raised to a higher position or level"
"money","what you earn by working or selling things, and use to buy things"
"move","to change position or make somebody/something change position in a way that can be seen, heard or felt"
"mode","a particular way of doing something; a particular type of something"
"morning","the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch"
"link","a connection between two or more people or things"
"mix","if two or more substances or things  or you  them, they combine, usually in a way that means they cannot easily be separated"
"me","the form of  that is used when the speaker or writer is the object of a verb or preposition, or after the verb"
"murder","the crime of killing somebody deliberately"
"joy","a feeling of great happiness"
"monitor","a screen that shows information from a computer; a television screen used to show particular kinds of information"
"mom","a mother"
"mount","to organize and begin something"
"mechanism","a set of moving parts in a machine that performs a task"
"mutual","used to describe feelings that two or more people have for each other equally, or actions that affect two or more people equally"
"justice","the fair treatment of people"
"mortgage","a legal agreement by which a bank or similar organization lends you money to buy a house, etc., and you pay the money back over a particular number of years; the sum of money that you borrow"
"more","a larger number or amount of"
"narrow","measuring a short distance from one side to the other, especially in relation to length"
"live","to have your home in a particular place"
"member","a person, an animal or a plant that belongs to a particular group"
"mrs","a title that comes before a married woman’s family name or before her first and family names together"
"killing","an act of killing somebody deliberately"
"long","measuring or covering a great length or distance, or a greater length or distance than usual"
"motivation","the reason why somebody does something or behaves in a particular way"
"mess","a dirty or untidy state"
"mountain","a very high hill, often with rocks near the top"
"musical","connected with music; containing music"
"ms","multiple sclerosis"
"lots","a large number or amount"
"military","connected with soldiers or the armed forces"
"movie","a series of moving pictures recorded with sound that tells a story, watched at a movie theater or on a television or other device"
"know","to have information in your mind as a result of experience or because you have learned or been told it"
"myth","a story from ancient times, especially one that was told to explain natural events or to describe the early history of a people; this type of story"
"museum","a building in which objects of artistic, cultural, historical or scientific interest are kept and shown to the public"
"lake","a large area of water that is surrounded by land"
"natural","existing in nature; not made or caused by humans"
"myself","used when the speaker or writer is also the person affected by an action"
"neck","the part of the body between the head and the shoulders"
"national","connected with a particular nation; shared by a whole nation"
"nerve","any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc."
"necessarily","used to say that something cannot be avoided"
"nearby","near in position; not far away"
"light","the energy from the sun, a lamp, etc. that makes it possible to see things"
"news","new information about something that has happened recently"
"neighborhood","a district or an area of a town; the people who live there"
"negotiation","formal discussion between people who are trying to reach an agreement"
"nod","if you ,  your head or your head , you move your head up and down to show agreement, understanding, etc."
"never","not at any time; not on any occasion"
"new","not existing before; recently made, invented, introduced, etc."
"north","the direction that is on your left when you watch the sun rise; one of the four main points of the compass"
"night","the time between one day and the next when it is dark, when people usually sleep"
"no","used to give a negative reply or statement"
"musician","a person who plays a musical instrument or writes music, especially as a job"
"lucky","having good luck"
"minute","each of the 60 parts of an hour, that are equal to 60 seconds"
"novel","a story long enough to fill a complete book, in which the characters and events are usually imaginary"
"nonetheless","despite this fact"
"mixture","a combination of different things"
"normal","typical, usual or ordinary; what you would expect"
"mainly","more than anything else; also used to talk about the most important reason for something"
"naked","not wearing any clothes"
"notice","to see or hear somebody/something; to become aware of somebody/something"
"moment","a very short period of time"
"nut","a small hard fruit with a very hard shell that grows on some trees"
"naturally","in a way that you would expect"
"male","being a man or boy"
"note","a short piece of writing to help you remember something"
"numerous","existing in large numbers"
"moreover","used to introduce some new information that adds to or supports what you have said previously"
"obvious","easy to see or understand"
"manufacturing","the business or industry of producing goods in large quantities in factories, etc."
"need","to require something/somebody because they are essential or very important, not just because you would like to have them"
"late","arriving, happening or done after the expected, arranged or usual time"
"nuclear","using, producing or resulting from nuclear energy"
"observer","a person who watches somebody/something"
"motor","a device that uses electricity, petrol, etc. to produce movement and makes a machine, a vehicle, a boat, etc. work"
"lawsuit","a claim or complaint against somebody that a person or an organization can make in court"
"married","having a husband or wife"
"nervous","anxious about something or afraid of something"
"odd","strange or unusual"
"lip","either of the two soft edges at the opening to the mouth"
"observation","the act of watching somebody/something carefully for a period of time, especially to learn something"
"officer","a person who is in a position of authority in the armed forces or on a ship"
"living","alive now"
"occupation","a job or profession"
"math","mathematics, especially as a subject in school"
"leaf","a flat green part of a plant, growing from a stem or branch or from the root"
"newspaper","a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this"
"olympic","connected with the Olympic Games"
"long-term","lasting or having an effect over a long period of time"
"meaning","the thing or idea that a sound, word, sign, etc. represents"
"noise","a sound, especially when it is loud, unpleasant or frightening"
"onto","used with verbs to express movement on or to a particular place or position"
"loud","making a lot of noise"
"medication","a drug or another form of medicine that you take to prevent or to treat an illness; treatment involving drugs"
"northern","located in the north or facing north; connected with or typical of the north part of the world or a region"
"left","on the side of your body that is towards the west when you are facing north"
"lunch","a meal eaten in the middle of the day"
"mental","connected with or happening in the mind; involving the process of thinking"
"now","(at) the present time"
"length","the size or measurement of something from one end to the other"
"maintain","to make something continue at the same level, standard, etc."
"meter","a device that measures and records the amount of electricity, gas, water, etc. that you have used or the time and distance you have travelled, etc."
"mr","a title that comes before a man’s family name, or before his first and family names together"
"mall","a large building or covered area that has many shops, restaurants, etc. inside it"
"occur","to happen"
"offer","to say that you are willing to give something to somebody"
"many","used with plural nouns and verbs, especially in negative sentences or in more formal English, to mean ‘a large number of’. Also used in questions to ask about the size of a number, and with ‘as’, ‘so’ and ‘too’."
"object","a thing that can be seen and touched, but is not alive"
"license","to give somebody official permission to do, own, or use something"
"music","sounds that are arranged in a way that is pleasant or exciting to listen to. People sing  or play it on instruments."
"mind","the part of a person that makes them able to be aware of things, to think and to feel"
"okay","yes; all right"
"obviously","used when giving information that you expect other people to know already or agree with"
"offense","an illegal act"
"likely","having a good chance of happening or being something;  or expected"
"marry","to become the husband or wife of somebody; to get married to somebody"
"odds","the degree to which something is likely to happen"
"mystery","something that is difficult to understand or to explain"
"online","available on or done using the internet or other computer network"
"miss","to be or arrive too late for something"
"listen","to pay attention to somebody/something that you can hear"
"official","agreed to, said, done, etc. by somebody who is in a position of authority"
"model","a copy of something, usually smaller than the original object"
"operator","a person who operates equipment or a machine"
"opponent","a person that you are playing or fighting against in a game, competition, argument, etc."
"matter","used (to ask) if somebody is upset, unhappy, etc. or if there is a problem"
"month","any of the twelve periods of time into which the year is divided, for example May or June"
"loan","money that an organization such as a bank lends and somebody borrows"
"or","used to introduce another possibility"
"order","the way in which people or things are placed or arranged in relation to each other"
"most","the largest in number or amount"
"meanwhile","while something else is happening"
"on","in or into a position covering, touching or forming part of a surface"
"loose","not securely fixed where it should be; able to become separated from something"
"originally","used to describe the situation that existed at the beginning of a particular period or activity, especially before something was changed"
"origin","the point from which something starts; the cause of something"
"mouse","a small animal that is covered in fur and has a long thin tail.  live in fields, in people’s houses or where food is stored."
"medicine","the study and treatment of diseases and injuries"
"open","allowing things or people to go through; not closed or blocked"
"ourselves","the reflexive form of ; used when you and another person or other people together cause and are affected by an action"
"outcome","the result or effect of an action or event"
"lovely","beautiful; attractive"
"much","used with uncountable nouns, especially in negative sentences to mean ‘a large amount of something’, or after ‘how’ to ask about the amount of something. It is also used with ‘as’, ‘so’ and ‘too’."
"overlook","to fail to see or notice something"
"mention","to write or speak about something/somebody, especially without giving much information"
"own","used to emphasize that something belongs to or is connected with somebody"
"oil","a thick liquid that is found in rock underground"
"machine","a piece of equipment with many parts that work together to do a particular task. The power used to work a  may be electricity, steam, gas, etc. or human power."
"muslim","believing in and practising Islam; connected with the religion of Islam"
"method","a particular way of doing something"
"pain","the feelings that you have in your body when you have been hurt or when you are ill"
"ongoing","continuing to exist or develop"
"paint","a liquid that is put on surfaces to give them a particular colour; a layer of this liquid when it has dried on a surface"
"native","connected with the place where you were born and lived for the first years of your life"
"major","very large or important"
"name","a word or words that a particular person, animal, place or thing is known by"
"mine","of or belonging to the person writing or speaking"
"palm","a straight tree with a mass of long leaves at the top, growing in tropical countries. There are several types of  tree, some of which produce fruit."
"necessary","that is needed for a purpose or a reason"
"operating","to work in a particular way"
"manage","to control or be in charge of a business, a team, an organization, land, etc."
"nature","all the plants, animals and things that exist in the universe that are not made by people"
"missile","a weapon that is sent through the air and that explodes when it hits the thing that it is aimed at"
"panel","a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall"
"part","some but not all of a thing"
"neither","not one nor the other of two things or people"
"opposition","the act of strongly disagreeing with somebody/something, especially with the aim of preventing something from happening"
"margin","the empty space at the side of a written or printed page"
"negative","bad or harmful"
"moderate","that is neither very good, large, hot, etc. nor very bad, small, cold, etc."
"participate","to take part in or become involved in an activity"
"partnership","the state of being a partner in business"
"organize","to make all the arrangements for something to happen or be provided"
"newly","recently"
"net","material that is made of string, thread or wire twisted or tied together, with small spaces in between; a piece of this material used for a particular purpose"
"mass","a large amount of a substance that does not have a definite shape or form"
"mood","the way you are feeling at a particular time"
"path","a way or track that is built or is made by the action of people walking"
"pass","to achieve the required standard in an exam, a test, etc."
"ought","used to say what is the right thing to do"
"nobody","not anyone; no person"
"maybe","used when you are not certain that something will happen or that something is true or is a correct number"
"mostly","mainly; generally"
"peak","the point when somebody/something is best, most successful, strongest, etc."
"normally","usually; in normal circumstances"
"opportunity","a time when a particular situation makes it possible to do or achieve something"
"next","coming straight after somebody/something in time, order or space"
"overall","including all the things or people that are involved in a particular situation; general"
"pattern","the regular way in which something happens or is done"
"measurement","the act or the process of finding the size, quantity or degree of something"
"perception","an idea, a belief or an image you have as a result of how you see or understand something"
"notion","an idea, a belief or an understanding of something"
"ordinary","not unusual or different in any way"
"package","something that is wrapped in paper or put into a thick envelope so that it can be sent by mail, carried easily, or given as a present"
"penalty","a punishment for breaking a law, rule or contract"
"nomination","the act of suggesting or choosing somebody as a candidate in an election, or for a job or an award; the fact of being suggested for this"
"meet","to be in the same place as somebody by chance and talk to them"
"permission","the act of allowing somebody to do something, especially when this is done by somebody in a position of authority"
"nurse","a person whose job is to take care of sick or injured people, usually in a hospital"
"perfectly","completely"
"other","used to refer to people or things that are additional or different to people or things that have been mentioned or are known about"
"mouth","the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening"
"pale","having skin that is very light in colour; having skin that has less colour than usual because of illness, a strong emotion, etc."
"nose","the part of the face that sticks out above the mouth, used for breathing and smelling things"
"mere","used when you want to emphasize how small, unimportant, etc. somebody/something is"
"obtain","to get something, especially by making an effort"
"outside","not in a room, building or container but on or to the outside of it"
"person","a human as an individual"
"park","an area of public land in a town or a city where people go to walk, play and relax"
"multiple","many in number; involving many different people or things"
"persuade","to make somebody do something by giving them good reasons for doing it"
"nowhere","not in or to any place"
"middle","the part of something that is at an equal distance from all its edges or sides; a point or a period of time between the beginning and the end of something"
"owner","a person who owns something"
"must","used to say that something is necessary or very important (sometimes involving a rule or a law)"
"ocean","the mass of salt water that covers most of the earth’s surface"
"phase","a stage in a process of change or development"
"partly","to some extent; not completely"
"objective","something that you are trying to achieve"
"minor","not very large, important or serious"
"painter","a person whose job is painting buildings, walls, etc."
"photographer","a person who takes photographs, especially as a job"
"physical","connected with a person’s body rather than their mind"
"occasion","a particular time when something happens"
"past","gone by in time"
"mistake","an action or an opinion that is not correct, or that produces a result that you did not want"
"pant","to breathe quickly with short breaths, usually with your mouth open, because you have been doing some physical exercise, or because it is very hot"
"pie","a baked dish of fruit or meat and/or vegetables with pastry on the bottom, sides and top"
"pile","a number of things that have been placed on top of each other"
"pc","a computer that is designed for one person to use at work or at home (the abbreviation for )"
"modest","not very large, expensive, important, etc."
"participation","the act of taking part in an activity or event"
"of","belonging to somebody; relating to somebody"
"perceive","to understand or think of somebody/something in a particular way"
"place","a particular position, point or area"
"moral","connected with principles of right and wrong behaviour"
"often","many times"
"platform","the raised flat area next to the track at a train station where you get on or off the train"
"plane","a flying vehicle with wings and one or more engines"
"period","a particular length of time"
"motion","the act or process of moving or the way something moves"
"once","on one occasion only; one time"
"pm","the main minister and leader of the government in some countries (the abbreviation for )"
"player","a person who takes part in a game or sport"
"personnel","the people who work for an organization or one of the armed forces"
"movement","an act of moving the body or part of the body"
"passage","a long narrow area with walls on either side that connects one room or place with another"
"opening","a space or hole that somebody/something can pass through"
"policy","a plan of action agreed or chosen by a political party, a business, etc."
"poem","a piece of writing in which the words are chosen for their sound and the images they suggest, not just for their obvious meanings. The words are arranged in separate lines, usually with a repeated rhythm, and often the lines rhyme at the end."
"muscle","a piece of body tissue that you make tight and relax in order to move a particular part of the body; the tissue that forms the  of the body"
"pause","to stop talking or doing something for a short time before continuing"
"photo","a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it"
"poor","having very little money; not having enough money for basic needs"
"oppose","to disagree strongly with somebody’s plan, policy, etc. and try to change it or prevent it from succeeding"
"politically","in a way that is connected with politics"
"people","human beings; men, women and children"
"my","of or belonging to the speaker or writer"
"pick","to choose somebody/something from a group of people or things"
"portray","to show somebody/something in a picture; to describe somebody/something in a piece of writing"
"organic","produced or practised without using artificial chemicals"
"popular","liked or enjoyed by a large number of people"
"perform","to entertain an audience by playing a piece of music, acting in a play, etc."
"nation","a country considered as a group of people with the same language, culture and history, who live in a particular area under one government"
"pipe","a tube through which liquids and gases can flow"
"post","the official system used for sending and delivering letters, packages, etc."
"office","a room, set of rooms or building where people work, usually sitting at desks"
"others","your husband, wife, partner or somebody that you have a special relationship with"
"position","the place where somebody/something is located"
"narrative","a description of events"
"plastic","a light strong material that is produced by chemical processes and can be formed into shapes when heated. There are many different types of , used to make different objects and fabrics."
"nearly","almost; not quite; not completely"
"oven","the part of a cooker that is like a box with a door on the front, in which food is cooked or heated"
"powder","a dry mass of very small fine pieces or grains"
"old","of a particular age"
"plot","the series of events that form the story of a novel, play, film, etc."
"neighbor","a person who lives next to you or near you"
"pace","the speed at which somebody/something walks, runs or moves"
"predict","to say that something will happen in the future"
"pole","a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support"
"personal","your own; not belonging to or connected with anyone else"
"only","used to say that no other or others of the same group exist or are there"
"nevertheless","despite something that you have just mentioned"
"presence","the fact of being in a particular place"
"pollution","the process of making air, water, soil, etc. dirty; the state of being dirty"
"phenomenon","a fact or an event in nature or society, especially one that is not fully understood"
"near","at a short distance away from somebody/something"
"nine","9"
"painting","a picture that has been painted"
"opinion","your feelings or thoughts about somebody/something, rather than a fact"
"portion","one part of something larger"
"negotiate","to try to reach an agreement by formal discussion"
"physically","in a way that is connected with a person’s body rather than their mind"
"nor","and not"
"paper","the thin material that you write and draw on and that is also used for wrapping and packing things"
"orange","a round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice"
"possible","that can be done or achieved"
"pilot","a person who operates the controls of an aircraft, especially as a job"
"network","a complicated system of roads, lines, tubes, nerves, etc. that are connected to each other and operate together"
"nothing","not anything; no single thing"
"particular","used to emphasize that you are referring to one individual person, thing or type of thing and not others"
"original","existing at the beginning of a particular period, process or activity"
"pour","to make a liquid or other substance flow from a container in a continuous stream, especially by holding the container at an angle"
"planet","a large round object in space that moves around a star (such as the sun) and receives light from it"
"nice","pleasant or attractive"
"number","a word or symbol that represents an amount or a quantity"
"passenger","a person who is travelling in a car, bus, train, plane or ship and who is not driving it or working on it"
"please","used as a polite way of asking for something or telling somebody to do something"
"none","not one of a group of people or things; not any"
"prayer","words that you say to God giving thanks or asking for help"
"observe","to see or notice somebody/something"
"out","away from the inside of a place or thing"
"pay","to give somebody money for work, goods, services, etc."
"prepare","to make something or somebody ready to be used or to do something"
"poet","a person who writes poems"
"owe","to have to pay somebody for something that you have already received or return money that you have borrowed"
"occupy","to fill or use a space, an area or an amount of time"
"pepper","a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food"
"potato","a round white vegetable with a brown or red skin that grows underground as part of a plant also called a"
"not","used with,  or  to form the negative of verbs; used to form the negative of modal verbs like  or"
"press","newspapers and magazines"
"politician","a person whose job involves politics, especially as an elected member of parliament, etc."
"offensive","rude in a way that causes somebody to feel upset or annoyed because it shows a lack of respect"
"painful","causing you pain"
"powerful","being able to control and influence people and events"
"performance","the act of performing a play, concert or some other form of entertainment"
"pride","a feeling of being pleased or satisfied that you get when you or people who are connected with you have done something well or own something that other people admire"
"population","all the people who live in a particular area, city or country; the total number of people who live there"
"ok","yes; all right"
"pan","a container, usually made of metal, with a handle or handles, used for cooking food in"
"preference","a greater interest in or desire for somebody/something than somebody/something else"
"personality","the various aspects of a person’s character that combine to make them different from other people"
"obligation","the state of being forced to do something because it is your duty, or because of a law, etc."
"prior","happening or existing before something else or before a particular time"
"positive","good or useful"
"participant","a person who is taking part in an activity or event"
"onion","a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste."
"presentation","a meeting at which something, especially a new product or idea, or piece of work, is shown to a group of people"
"occasionally","sometimes but not often"
"philosophy","the study of the nature and meaning of the universe and of human life"
"pretend","to behave in a particular way, in order to make other people believe something that is not true"
"procedure","a way of doing something, especially the usual or correct way"
"party","a social occasion, often in a person’s home, at which people eat, drink, talk, dance and enjoy themselves"
"potential","that can develop into something or be developed in the future"
"prevent","to stop somebody from doing something; to stop something from happening"
"physician","a doctor, especially one who is a specialist in general medicine and not surgery"
"operation","the process of cutting open a part of a person’s body in order to remove or repair a damaged part"
"primarily","mainly"
"professional","doing something as a paid job rather than as a hobby"
"off","used to say that something has been removed or become separated"
"prime","main; most important; basic"
"pine","an evergreen forest tree with leaves like needles"
"option","something that you can choose to have or do; the freedom to choose what you do"
"promise","to tell somebody that you will definitely do or not do something, or that something will definitely happen"
"prison","a building where people are kept as a punishment for a crime they have committed, or while they are waiting for trial"
"practical","connected with real situations rather than with ideas or theories"
"oh","used when you are reacting to something that has been said, especially if you did not know it before"
"privacy","the state of being alone and not watched or interrupted by other people"
"orientation","a person’s basic beliefs or feelings about a particular subject"
"planning","the act or process of making plans for something"
"proposal","a formal suggestion or plan; the act of making a suggestion"
"process","a series of things that are done in order to achieve a particular result"
"pregnancy","the state of being pregnant"
"producer","a person, a company or a country that grows or makes food, goods or materials"
"protest","the expression of strong dislike of or opposition to something; a statement or an action that shows this"
"one","the number 1"
"pleasure","a state of feeling or being happy or satisfied"
"our","belonging to us; connected with us"
"profile","a description of somebody/something that gives useful information"
"preserve","to keep a particular quality, feature, etc.; to make sure that something is kept"
"poetry","poems in general; poems as a genre of literature"
"psychologist","a scientist who studies and is trained in psychology"
"program","a set of instructions in code that control the operations or functions of a computer"
"overcome","to succeed in dealing with or controlling a problem that has been preventing you from achieving something"
"operate","to work in a particular way"
"prompt","to make somebody decide to do something; to cause something to happen"
"previous","happening or existing before the event or object that you are talking about"
"proper","right, appropriate or correct; according to the rules"
"politics","the activities involved in getting and using power in public life, and being able to influence decisions that affect a country or a society"
"punishment","an act or a way of punishing somebody"
"page","one side or both sides of a sheet of paper in a book, magazine, etc."
"opposite","on the other side of a particular area from somebody/something and usually facing them"
"proposed","to suggest a plan, an idea, etc. for people to think about and decide on"
"principal","most important; main"
"prospect","the possibility that something will happen"
"quality","the standard of something when it is compared to other things like it; how good or bad something is"
"prove","to use facts, evidence, etc. to show that something is true"
"organization","a group of people who form a business, club, etc. together in order to achieve a particular aim"
"provider","a person or an organization that supplies somebody with something they need or want"
"patient","a person who is receiving medical treatment, especially in a hospital"
"private","belonging to or for the use of a particular person or group; not for public use"
"porch","a small area at the entrance to a building, such as a house or a church, that is covered by a roof and often has walls"
