word,definition
"acquire","to gain something by your own efforts, ability or behaviour"
"acting","the activity or profession of performing in plays, films, etc."
"acquired","to gain something by your own efforts, ability or behaviour"
"ad","a notice, picture or film telling people about a product, job or service"
"activation","the act of making something such as a device or chemical process start working"
"add","to put something together with something else so as to increase the size, number, amount, etc."
"acrylic","made of a substance produced by chemical processes from a type of acid"
"accordance","according to a rule or the way that somebody says that something should be done"
"account","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
"address","details of where somebody lives or works and where letters, etc. can be sent"
"activities","a thing that you do for interest or pleasure"
"acute","very serious or severe"
"act","to do something for a particular purpose or in order to deal with a situation"
"accredited","officially recognized as something; with official permission to be something"
"adapters","a device for connecting pieces of electrical equipment that were not designed to fit together"
"actress","a woman who performs on the stage, on television or in films, especially as a profession"
"activists","a person who works to achieve political or social change, especially as a member of an organization with particular aims"
"adaptive","connected with changing; able to change when necessary in order to deal with different situations"
"administered","to manage and organize the affairs of a company, an organization, a country, etc."
"additional","more than was first mentioned or is usual"
"achieve","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
"adams","(1735-1826) the second President of the US after being the country's first vice-president. He was a leader in forming the Declaration of Independence. He was not a very popular president because of arguments within his government and problems in foreign relations, especially with France. He was the father of John Quincy Adams."
"actually","used in speaking to emphasize a fact or a comment, or that something is really true"
"additionally","in a way that is more than was first mentioned or is usual"
"admitted","to agree, often unwillingly, that something is true"
"adelaide","a city in Australia, the capital and chief port of the state of South Australia"
"acknowledged","to accept that something is true"
"adapter","a device for connecting pieces of electrical equipment that were not designed to fit together"
"added","to put something together with something else so as to increase the size, number, amount, etc."
"adsl"," (a system for connecting a computer to the internet using a phone line)"
"accurately","in a way that is correct and true in every detail"
"adequate","enough in quantity, or good enough in quality, for a particular purpose or need"
"adjustment","a small change made to something in order to correct or improve it"
"acre","a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres"
"addition","a thing that is added to something else"
"addressed","to think about a problem or a situation and decide how you are going to deal with it"
"actively","in a way that involves doing something"
"adjustments","a small change made to something in order to correct or improve it"
"achievements","a thing that somebody has done successfully, especially using their own effort and skill"
"admission","the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
"actions","the process of doing something in order to make something happen or to deal with a situation"
"advantages","a thing that helps you to be better or more successful than other people"
"adjacent","next to something"
"actual","used to emphasize something that is real or exists in fact"
"admissions","the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
"adds","to put something together with something else so as to increase the size, number, amount, etc."
"acoustic","related to sound or to the sense of hearing"
"adoption","the act of adopting a child; the fact of being adopted"
"actor","a person who performs on the stage, on television or in films, especially as a profession"
"advertiser","a person or company that advertises"
"adrian","a first name for boys"
"administration","the activities that are done in order to plan, organize and run a business, school or other institution"
"adjusted","to change something slightly to make it more suitable for a new set of conditions or to make it work better"
"adapted","to change your behaviour in order to deal more successfully with a new situation"
"advancement","the process of helping something/somebody to make progress or succeed; the progress that is made"
"across","from one side to the other side of something"
"advisory","having the role of giving professional advice"
"administrators","a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
"adobe","a mixture of mud and straw, dried in the sun and used as a building material"
"advances","progress or a development in a particular activity or area of understanding"
"adding","to put something together with something else so as to increase the size, number, amount, etc."
"advertise","to tell the public about a product or a service in order to encourage people to buy or to use it"
"active","always busy doing things, especially physical activities"
"adaptor","a device for connecting pieces of electrical equipment that were not designed to fit together"
"affair","events that are of public interest or political importance"
"adopted","an  child has legally become part of a family that is not the one in which they were born"
"addressing","to think about a problem or a situation and decide how you are going to deal with it"
"adult","a fully grown person who is legally responsible for their actions"
"advertisement","a notice, picture or film telling people about a product, job or service"
"advised","to tell somebody what you think they should do in a particular situation"
"additions","a thing that is added to something else"
"affiliates","to link a group, a company or an organization very closely with another, larger one"
"acts","to do something for a particular purpose or in order to deal with a situation"
"advanced","having the most modern and recently developed ideas, methods, etc."
"advisor","a person who gives advice, especially somebody who knows a lot about a particular subject"
"adjustable","that can be moved to different positions or changed in shape or size"
"adventure","an unusual, exciting or dangerous experience, journey or series of events"
"aerial","a piece of equipment made of wire or long straight pieces of metal for receiving or sending radio and television signals"
"after","later than something; following something in time"
"adaptation","the action or process of changing something, or of being changed, to suit a new purpose or situation"
"advert","a notice, picture or film telling people about a product, job or service"
"aerospace","the industry of building aircraft, vehicles and equipment to be sent into space"
"advertisers","a person or company that advertises"
"administrator","a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
"addiction","the condition of being unable to stop using or doing something as a habit, especially something harmful"
"agencies","a business or an organization that provides a particular service especially when representing other businesses or organizations"
"admin","the administration of a business, organization, etc.; the department in a company that does this"
"affects","to produce a change in somebody/something"
"advise","to tell somebody what you think they should do in a particular situation"
"advocacy","public support that somebody gives to an idea, a course of action or a belief"
"affiliate","to link a group, a company or an organization very closely with another, larger one"
"adopt","to take somebody else’s child into your family and become its legal parent(s)"
"aging","the process of growing old"
"addresses","details of where somebody lives or works and where letters, etc. can be sent"
"afraid","feeling fear; frightened because you think that you might be hurt or suffer"
"admit","to agree, often unwillingly, that something is true"
"africa","the second largest continent"
"affairs","events that are of public interest or political importance"
"advance","progress or a development in a particular activity or area of understanding"
"agriculture","the science or practice of farming"
"adjust","to change something slightly to make it more suitable for a new set of conditions or to make it work better"
"ads","a notice, picture or film telling people about a product, job or service"
"against","opposing or disagreeing with somebody/something"
"adverse","negative and unpleasant; not likely to produce a good result"
"affiliation","a person’s connection with a political party, religion, etc."
"age","the number of years that a person has lived or a thing has existed"
"aims","to try or plan to achieve something"
"affecting","making you feel very sad, sorry, etc. about somebody/something"
"administrative","connected with organizing the work of a business or an institution"
"advantage","a thing that helps you to be better or more successful than other people"
"ages","the number of years that a person has lived or a thing has existed"
"aggregate","a total number or amount made up of smaller amounts that are collected together"
"afternoon","the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening"
"advice","an opinion or a suggestion about what somebody should do in a particular situation"
"afghanistan","a country in Central Asia"
"airports","a place where planes land and take off and that has buildings for passengers to wait in"
"adolescent","a young person who is developing from a child into an adult"
"advertisements","a notice, picture or film telling people about a product, job or service"
"agreements","an arrangement, a promise or a contract made with somebody"
"agency","a business or an organization that provides a particular service especially when representing other businesses or organizations"
"adware","a type of software that displays or downloads advertisements that are not asked for on a computer screen, smartphone, etc. when a user is online"
"alarm","a loud noise or a signal that warns people of danger or of a problem"
"agrees","to have the same opinion as somebody; to say that you have the same opinion"
"again","one more time; on another occasion"
"adults","a fully grown person who is legally responsible for their actions"
"aids","a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for )"
"advisors","a person who gives advice, especially somebody who knows a lot about a particular subject"
"affected","changed or influenced by something"
"albuquerque","the largest city in the US state of New Mexico"
"ago","used in expressions of time with the simple past tense to show how far in the past something happened"
"aim","to try or plan to achieve something"
"agents","a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
"adventures","an unusual, exciting or dangerous experience, journey or series of events"
"airlines","a company that provides regular flights to take passengers and goods to different places"
"affordable","cheap enough that people can afford to pay it or buy it"
"ah","used to express surprise, pleasure or sympathy, or when you disagree with somebody"
"algebra","a type of mathematics in which letters and symbols are used to represent quantities"
"airplane","a flying vehicle with wings and one or more engines"
"advertising","the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
"agreement","an arrangement, a promise or a contract made with somebody"
"affiliated","closely connected to or controlled by a group or an organization"
"ag","used when you are reacting to something that has been said, or when you are angry or annoyed by something"
"align","to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line"
"alabama","a southern US state, also called the Yellowhammer State, the Cotton State and the Heart of Dixie. The capital city is Montgomery and the largest city is Birmingham. Important industries include the production of paper, textiles, chemicals and metals. It also has many farm products, including milk, wheat and cotton."
"advocate","a person who supports or speaks in favour of somebody or of a public plan or action"
"alberta","a province in western Canada, east of British Columbia and west of Saskatchewan. The capital is Edmonton."
"air","the mixture of gases that surrounds the earth and that we breathe"
"african","of or connected with Africa"
"aid","money, food, etc. that is sent to help countries in difficult situations"
"album","a book in which you keep photographs, stamps, etc."
"agent","a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
"allen","a first name for boys"
"affect","to produce a change in somebody/something"
"alexander","a first name for boys"
"aged","of the age of"
"airline","a company that provides regular flights to take passengers and goods to different places"
"alexandria","a series of four novels by Lawrence Durrell about the complicated love affairs of a group of friends in Alexandria, Egypt, in the 1930s. The four books are  (1957),  (1958),  (1958) and  (1960). The series forms Durrell's best-known work."
"agreed","discussed and accepted by everyone"
"allowed","to let somebody/something do something; to let something happen or be done"
"afford","to have enough money to be able to buy or do something"
"alias","used when a person, especially a criminal or an actor, is known by two names"
"aggressive","angry, and behaving in a threatening way; ready to attack"
"alice","a first name for girls"
"ai","artificial intelligence"
"alaska","the largest and most northern state of the US, connected to the other states by the Alaska Highway through Canada. It is sometimes called ‘the Last Frontier’ and produces a lot of oil. The land was bought from Russia in 1867 and Alaska became the 49th state in 1959. The capital city is Juneau, and the largest city is Anchorage."
"alpha","the first letter of the Greek alphabet (A, α)"
"afterwards","at a later time; after an event that has already been mentioned"
"allah","the name of God among Muslims"
"agricultural","connected with the science or practice of farming"
"airfare","the money that you pay to travel by plane"
"allan","a first name for boys"
"alternate","happening or following one after the other regularly"
"alcohol","drinks such as beer, wine, etc. that can make people drunk"
"allocation","an amount of money, space, etc. that is given to somebody for a particular purpose"
"aimed","to try or plan to achieve something"
"alumni","the former students of a school, college or university"
"agenda","a list of items to be discussed at a meeting"
"allow","to let somebody/something do something; to let something happen or be done"
"algeria","a country in North Africa"
"alone","without any other people"
"airport","a place where planes land and take off and that has buildings for passengers to wait in"
"albany","the capital city of New York State, 145 miles/230 kilometres north of New York City"
"agree","to have the same opinion as somebody; to say that you have the same opinion"
"alignment","arrangement in a straight line"
"along","from one end to or towards the other end of something"
"alt","relating to an alternative version of something that is intended as a challenge to the traditional version"
"alan","a first name for boys"
"amendment","a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law"
"alerts","to warn somebody about a dangerous situation or one that requires immediate action"
"ahead","further forward in space or time; in front"
"allergy","a medical condition that causes you to react badly or feel ill when you eat or touch a particular substance"
"alter","to become different; to make somebody/something different"
"alto","a singing voice with a lower range than that of a soprano; a person with an  voice"
"albums","a book in which you keep photographs, stamps, etc."
"among","surrounded by somebody/something; in the middle of somebody/something"
"algorithms","a set of rules that must be followed when solving a particular problem"
"aircraft","any vehicle that can fly and carry goods or passengers"
"allowing","to let somebody/something do something; to let something happen or be done"
"aluminium","a chemical element.  is a light, silver-grey metal used for making pans, etc."
"amazing","very surprising, especially in a way that you like or admire"
"alfred","a first name for boys"
"ak","Alaska"
"amy","a first name for girls"
"alive","living; not dead"
"amazon","(in ancient Greek stories) a woman from a group of female warriors"
"alphabetical","according to the correct order of the letters of the alphabet"
"alien","a person who is not a citizen of the country in which they live or work"
"albania","a country in south-eastern Europe"
"allied","connected with countries or groups that join together to fight a war or work for a shared aim"
"analyst","a person whose job involves examining facts or materials in order to give an opinion on them"
"amend","to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it"
"alternative","a thing that you can choose to do or have out of two or more possibilities"
"americans","a person from America, especially the US"
"alleged","stated as a fact but without any proof"
"alert","to warn somebody about a dangerous situation or one that requires immediate action"
"alloy","a metal that is formed by mixing two types of metal together, or by mixing metal with another substance"
"always","at all times; on every occasion"
"and","also; in addition to"
"algorithm","a set of rules that must be followed when solving a particular problem"
"allowance","an amount of money that is given to somebody regularly or for a particular purpose"
"al","a first name for boys, short for Alan, Albert or Alexander"
"amplifier","an electrical device or piece of equipment that makes sounds or radio signals louder"
"ambassador","an official who lives in a foreign country as the senior representative there of their own country"
"already","before now or before a particular time in the past"
"andy","a first name for boys, short for Andrew"
"alike","in a very similar way"
"analog","using a continuously changing range of physical quantities to measure or store data"
"albert","a first name for boys"
"analyses","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
"amendments","a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law"
"alternatives","a thing that you can choose to do or have out of two or more possibilities"
"angry","having strong feelings about something that you dislike very much or about an unfair situation"
"alliance","an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
"alex","a first name for boys or girls, short for Alexander or Alexandra"
"altered","to become different; to make somebody/something different"
"anatomy","the scientific study of the physical structure of humans, animals or plants"
"anchor","a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place"
"amanda","a first name for girls"
"amongst","surrounded by somebody/something; in the middle of somebody/something"
"anne","a first name for girls"
"allows","to let somebody/something do something; to let something happen or be done"
"andrew","a first name for boys"
"aluminum","a chemical element.  is a light, silver-grey metal used for making pans, etc."
"andreas","a break in the layers of rock forming the earth's surface that runs about 600 miles north to south through the US state of California. It causes earthquakes , such as those in San Francisco (1906 and 1989) and Los Angeles (1994)."
"ali","a comedy character played by the English comedian Sacha Baron Cohen. He first appeared in the British television series  in 1999 and later in  in Britain and the US, and in the film  (2002). He used language, wore clothes and had attitudes which are typical of British young people who try to copy black street culture. He interviewed famous people and asked them stupid questions."
"announcement","a spoken or written statement that informs people about something"
"alpine","existing in or connected with high mountains, especially the Alps in Central Europe"
"anger","the strong feeling that you have when something has happened that you think is bad and unfair"
"angle","the space between two lines or surfaces that join, measured in degrees"
"answer","something that you say, write or do to react to a question or situation"
"analysts","a person whose job involves examining facts or materials in order to give an opinion on them"
"america","one of several names for"
"alternatively","used to introduce a suggestion that is a second choice or possibility"
"all","the whole number of"
"amended","to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it"
"anime","Japanese film and television animation, typically aimed at adults as well as children"
"anthropology","the study of the human race, especially of its origins, development, customs and beliefs"
"allocated","to give something officially to somebody/something for a particular purpose"
"amounts","a quantity of something"
"ann","a first name for girls"
"amino","any of the substances that combine to form the basic structure of proteins"
"annotation","a note or notes added to a book or text giving explanations or comments; the act of adding these notes"
"antivirus","designed to find and destroy computer viruses"
"amber","yellow-brown in colour"
"announce","to tell people something officially, especially about a decision, plans, etc."
"almost","not quite"
"angel","a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task.  are often shown dressed in white, with wings."
"amsterdam","the name of what is now New York City when it was the Dutch capital of New Netherlands in the 17th century. It was a small town at the southern end of Manhattan. The British captured it in 1664 and named it New York. Dutch forces took it again in 1673 for 15 months and called it New Orange."
"annually","once a year"
"anytime","at a time that is not fixed"
"also","in addition; too"
"anonymous","with a name that is not known or that is not made public"
"amenities","a feature or service that makes a place pleasant, comfortable or easy to live in"
"animal","a creature that is not a bird, a fish, a reptile, an insect or a human"
"antarctica","the continent around the South Pole"
"apartments","a set of rooms for living in, usually on one floor of a building"
"analyze","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
"although","used for introducing a statement that makes the main statement in a sentence seem surprising"
"analysis","the detailed study or examination of something in order to understand more about it; the result of the study"
"antenna","either of the two long thin parts on the heads of some insects and some animals that live in shells, used to feel and touch things with"
"annex","to take control of a country, region, etc., especially by force"
"amount","a quantity of something"
"antigua","a country consisting of three small islands in the Caribbean. Antigua and Barbuda were British colonies from the early 17th century until they became fully independent and a member of the Commonwealth in 1981. Most of the country's population live on Antigua."
"apparently","according to what you have heard or read; according to the way something appears"
"andorra","a small country in western Europe"
"antique","old and often valuable"
"amateur","doing something for pleasure or interest, not as a job"
"ancient","belonging to a period of history that is thousands of years in the past"
"announcements","a spoken or written statement that informs people about something"
"ana","a collection of objects, facts, stories, etc. connected with the person, place, period, etc. mentioned"
"anymore","often used at the end of negative sentences and at the end of questions, to mean ‘any longer’"
"appendix","a small bag of tissue that is attached to the large intestine. In humans, the  has no clear function."
"angeles","the second largest city in the US and the largest in California. It covers a very large area in the southern part of the state on the Pacific coast, and is connected by the world's largest road system. The city is famous for Hollywood and Beverly Hills and its tourist attractions include Sunset Boulevard, the Hollywood Bowl, Universal Pictures and Rodeo Drive. Los Angeles is one of the busiest US ports and is an important industrial centre. The US captured the town from the Mexicans in 1846, and oil was discovered there at the end of the 19th century."
"andrews","a town in Fife, Scotland. It is named after St Andrew, whose bones are said to have been brought here in the 4th century, and it was an early centre of the Christian Church. Its university, established in 1412, is the oldest in Scotland. The town is also famous for the Royal and Ancient Golf Club, which is recognized as an international authority on the rules of golf."
"ambient","relating to the surrounding area; on all sides"
"anyone","used instead of  in negative sentences and in questions after /, and after verbs such as , , , etc."
"analytical","using a logical method of thinking about something in order to understand it, especially by looking at all the parts separately"
"answered","to say, write or do something as a reaction to a question or situation"
"apache","a member of a native North American people, many of whom live in the south-western US"
"animated","full of interest and energy"
"applications","a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
"angola","a country in southern Africa"
"anti","if somebody is  somebody/something, they do not like or agree with that person or thing"
"american","a person from America, especially the US"
"apart","separated by a distance, of space or time"
"anderson","(1923-94) an English theatre and film director. His film  (1968) is a powerful comment on the British public school system."
"apparatus","the tools or other pieces of equipment that are needed for a particular activity or task"
"appraisal","a judgement of the value, performance or nature of somebody/something"
"anna","an older brother"
"antonio","the second largest city in the US state of Texas on the San Antonio River. The Alamo was built there in 1781 and can still be visited. The city attracts many tourists because of its attractive shops and restaurants along the river. It also has five large US military bases."
"amp","the unit for measuring electric current"
"anniversary","a date that is an exact number of years after the date of an important or special event"
"apparel","clothing, when it is being sold in shops"
"angela","a first name for girls"
"appeared","to start to be seen"
"approval","the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something"
"announced","to tell people something officially, especially about a decision, plans, etc."
"annoying","making somebody feel slightly angry"
"anal","relating to or located near the anus"
"animals","a creature that is not a bird, a fish, a reptile, an insect or a human"
"anyway","used when adding something to support an idea or argument"
"april","the fourth month of the year, between March and May"
"another","one more; an extra thing or person"
"appearing","to start to be seen"
"annie","a successful US film (1977), written and directed by Woody Allen in which he acted with Diane Keaton. It is a romantic comedy and won Oscars for Best Picture, Best Director and Best Actress."
"answers","something that you say, write or do to react to a question or situation"
"analyzed","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
"api","a set of programming tools that enables a program to communicate with another program or an operating system, and that helps software developers create their own applications  (the abbreviation for )"
"arabic","the language of the Arabs"
"anthony","a first name for boys"
"applicant","a person who makes a formal request for something , especially for a job, a place at a college or university, etc."
"applicants","a person who makes a formal request for something , especially for a job, a place at a college or university, etc."
"announces","to tell people something officially, especially about a decision, plans, etc."
"andrea","(1946-2005) an extreme US  . She wrote many books expressing her views, including  (1981),  (1987) and  (1997)."
"antibody","a substance that the body produces in the blood to fight disease, or as a reaction when certain substances are put into the body"
"appeal","a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
"architectural","relating to architecture and buildings"
"appointed","to choose somebody for a job or position of responsibility"
"antiques","an object such as a piece of furniture that is old and often valuable"
"appointment","a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
"answering","to say, write or do something as a reaction to a question or situation"
"any","used with uncountable or plural nouns in negative sentences and questions, after  or , and after some verbs such as , , , etc. to refer to an amount or a number of something, however large or small"
"areas","part of a place, town, etc., or a region of a country or the world"
"angels","a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task.  are often shown dressed in white, with wings."
"anything","used instead of  in negative sentences and in questions; after /; and after verbs such as , , , etc."
"antibodies","a substance that the body produces in the blood to fight disease, or as a reaction when certain substances are put into the body"
"approaches","a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task"
"apple","a round fruit with shiny red or green skin that is fairly hard and white inside"
"appropriate","suitable, acceptable or correct for the particular circumstances"
"animation","the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move"
"arise","to happen; to start to exist"
"anxiety","the state of feeling nervous or worried that something bad is going to happen"
"apartment","a set of rooms for living in, usually on one floor of a building"
"applied","used in a practical way; not theoretical"
"apps","a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game"
"armor","special metal clothing that soldiers wore in the past to protect their bodies while fighting; special clothing that soldiers or police officers wear to protect their bodies"
"anywhere","used in negative sentences and in questions instead of"
"appreciate","to recognize the good qualities of somebody/something"
"arab","a person from the Middle East or North Africa, whose ancestors lived in the Arabian peninsula"
"arrangement","a plan or preparation that you make so that something can happen"
"architect","a person whose job is designing buildings"
"arrived","to get to a place, especially at the end of a journey"
"appeals","a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
"aol","an international US company, based in New York and previously known as America Online, that provides services to users of the internet around the world"
"appliance","a machine that is designed to do a particular thing in the home, such as preparing food, heating or cleaning"
"artificial","made or produced to copy something natural; not real"
"argument","a conversation or discussion in which two or more people disagree, often angrily"
"apollo","the US space programme to put people on the moon. It was begun in 1961 by President John F Kennedy and achieved its aim on 20 July 1969 when Neil Armstrong and Buzz Aldrin landed on the moon during the  flight."
"asbestos","a soft grey mineral that does not burn and can be woven into material, used especially in the past in building as a protection against fire or to prevent heat loss.  is dangerous if you breathe it in."
"applies","to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
"armed","involving the use of weapons"
"appear","to start to be seen"
"approximately","used to show that something is almost, but not completely, accurate or correct"
"ask","to say or write something in the form of a question, in order to get information"
"appreciated","to recognize the good qualities of somebody/something"
"arrange","to plan or organize something in advance"
"apparent","easy to see or understand"
"appliances","a machine that is designed to do a particular thing in the home, such as preparing food, heating or cleaning"
"ar","Arkansas"
"approve","to think that somebody/something is good, acceptable or suitable"
"approved","to think that somebody/something is good, acceptable or suitable"
"arrivals","an act of coming or being brought to a place"
"annotated","with notes added giving explanations or comments"
"appears","to start to be seen"
"apply","to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
"assessment","an opinion or a judgement about somebody/something that has been thought about very carefully"
"annual","happening or done once every year"
"apt","suitable or appropriate in the circumstances"
"aqua","water (used especially on the labels on packages of food, drinks, medicines, etc. in order to show how much water they contain)"
"arch","a curved structure that supports the weight of something above it, such as a bridge or the upper part of a building"
"application","a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
"appreciation","pleasure that you have when you recognize and enjoy the good qualities of somebody/something"
"article","a piece of writing about a particular subject in a newspaper or magazine, on a website, etc."
"arbitration","the official process of settling an argument or a disagreement by somebody who is not involved"
"arctic","related to or happening in the regions around the North Pole"
"approx","(in writing) , approximately"
"ant","a small insect that lives in highly organized groups. There are many types of ."
"appointments","a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
"arbitrary","not seeming to be based on a reason, system or plan and sometimes seeming unfair"
"aquarium","a large glass container in which fish and other water creatures and plants are kept"
"archive","a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored"
"anticipated","to expect something"
"argued","to speak angrily to somebody because you disagree with them"
"appropriations","the act of taking something that belongs to somebody else, especially without permission"
"architecture","the art and study of designing buildings"
"aside","to one side; out of the way"
"anybody","used instead of  in negative sentences and in questions after /, and after verbs such as , , , etc."
"arc","a curved line that is part of a circle"
"apr","the amount of interest a bank charges on money that it lends, calculated for a period of a year (the abbreviation for )"
"arm","either of the two long parts that stick out from the top of the body and connect the shoulders to the hands"
"arena","a place with a flat open area in the middle and seats around it where people can watch sports and entertainment"
"aspect","a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered"
